,hPa,LBL_g1,LBLk_g1,PAR_g1,LBL_g2,LBLk_g2,PAR_g2,LBL_g3,LBLk_g3,PAR_g3,LBL_g4,LBLk_g4,PAR_g4,LBL_g5,LBLk_g5,PAR_g5,LBL_g6,LBLk_g6,PAR_g6,LBL_g7,LBLk_g7,PAR_g7,LBL_g8,LBLk_g8,PAR_g8,LBL_g9,LBLk_g9,PAR_g9,LBL_g10,LBLk_g10,PAR_g10,LBL_g11,LBLk_g11,PAR_g11,LBL_g12,LBLk_g12,PAR_g12,LBL_tot,LBLk_tot,PAR_tot,LBLk - LBL,PAR - LBL
40,192.7625,0.0,0.0,0.0,0.0,0.0,0.0,0.00062,0.0,0.0,0.00584,0.0068,0.006790000000000001,0.021240000000000002,0.02355,0.02355,0.02953,0.02925,0.029269999999999997,0.013630000000000001,0.0125,0.01251,0.00298,0.0027300000000000002,0.00274,0.00044,0.00042,0.00042,0.0001,9e-05,9e-05,2e-05,2e-05,2e-05,0.0,0.0,0.0,0.07439,0.07537,0.07537999999999999,0.00098,0.001
41,216.5375,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0,0.0,0.004070000000000001,0.0023899999999999998,0.00238,0.01826,0.02009,0.02008,0.03472,0.03508,0.0351,0.01747,0.016030000000000003,0.01605,0.0038799999999999998,0.00355,0.00355,0.00057,0.00054,0.00054,0.00013000000000000002,0.00011999999999999999,0.00011999999999999999,2e-05,2e-05,2e-05,0.0,0.0,0.0,0.07962000000000001,0.07783,0.07785,-0.00179,-0.0017699999999999999
42,240.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.0,0.0031,0.0006,0.0006,0.0142,0.0147,0.01468,0.038560000000000004,0.03978,0.0398,0.02157,0.019780000000000002,0.019790000000000002,0.00489,0.00445,0.00445,0.00072,0.0006799999999999999,0.0006799999999999999,0.00016,0.00015,0.00015,2.9999999999999997e-05,2.9999999999999997e-05,2.9999999999999997e-05,0.0,0.0,0.0,0.08363,0.08017,0.08019,-0.0034700000000000004,-0.00344
43,264.0875,0.0,0.0,0.0,0.0,0.0,0.0,0.00032,0.0,0.0,0.0026100000000000003,0.00011,0.00011,0.0103,0.009340000000000001,0.00933,0.041460000000000004,0.04384,0.04386,0.02634,0.02421,0.02423,0.00614,0.00556,0.00556,0.00091,0.00085,0.00086,0.0002,0.00018999999999999998,0.00018999999999999998,4e-05,2.9999999999999997e-05,2.9999999999999997e-05,1e-05,1e-05,1e-05,0.08832000000000001,0.08413999999999999,0.08416,-0.00418,-0.0041600000000000005
44,287.8625,0.0,0.0,0.0,0.0,0.0,0.0,0.00026000000000000003,0.0,0.0,0.00232,1e-05,1e-05,0.0069,0.005,0.00499,0.04294,0.04659,0.0466,0.03171,0.029310000000000003,0.029330000000000002,0.007640000000000001,0.0069,0.0069,0.00114,0.00107,0.00107,0.00025,0.00022999999999999998,0.00022999999999999998,4e-05,4e-05,4e-05,1e-05,1e-05,1e-05,0.09322000000000001,0.08916,0.08918,-0.004070000000000001,-0.00404
45,311.6375,0.0,0.0,0.0,0.0,0.0,0.0,0.00022,0.0,0.0,0.00215,0.0,0.0,0.00425,0.00218,0.00217,0.04286,0.047439999999999996,0.04745,0.03768,0.035039999999999995,0.03507,0.00948,0.00851,0.00851,0.00143,0.00133,0.00133,0.00032,0.00029,0.00029,5.9999999999999995e-05,5e-05,5e-05,1e-05,1e-05,1e-05,0.09846,0.09485,0.09487999999999999,-0.0036,-0.0035700000000000003
46,335.4125,0.0,0.0,0.0,0.0,0.0,0.0,0.00018,0.0,0.0,0.00205,0.0,0.0,0.0024,0.00075,0.00075,0.04141,0.04649,0.04648,0.04444,0.04193,0.04195,0.0118,0.0106,0.01061,0.0018100000000000002,0.00168,0.00168,0.0004,0.00036,0.00036,7e-05,5.9999999999999995e-05,5.9999999999999995e-05,1e-05,1e-05,1e-05,0.10457999999999999,0.10189,0.10192000000000001,-0.0026899999999999997,-0.00266
47,359.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.00015,0.0,0.0,0.00199,0.0,0.0,0.00121,0.00018999999999999998,0.00018999999999999998,0.03848,0.043039999999999995,0.04303,0.05175,0.04965,0.04968,0.01466,0.0132,0.01321,0.00229,0.00213,0.00214,0.0005099999999999999,0.00045999999999999996,0.00045999999999999996,9e-05,8e-05,8e-05,1e-05,1e-05,1e-05,0.11115,0.10878,0.1088,-0.00237,-0.00235
48,382.9625,0.0,0.0,0.0,0.0,0.0,0.0,0.00015,0.0,0.0,0.00236,0.0,0.0,0.0006,4e-05,4e-05,0.041210000000000004,0.04451,0.044469999999999996,0.0737,0.07224,0.07228,0.02278,0.02054,0.02055,0.00366,0.0034,0.0034,0.00081,0.00073,0.00073,0.00014,0.00013000000000000002,0.00013000000000000002,2e-05,2e-05,2e-05,0.14544,0.14160999999999999,0.14163,-0.0038399999999999997,-0.00381
49,406.7375,0.0,0.0,0.0,0.0,0.0,0.0,0.00014,0.0,0.0,0.00277,0.0,0.0,0.00018999999999999998,0.0,0.0,0.03913,0.03802,0.03796,0.10422000000000001,0.10570999999999998,0.10575,0.036739999999999995,0.03333,0.03336,0.00613,0.0056700000000000006,0.005679999999999999,0.00137,0.00122,0.00122,0.00023999999999999998,0.00022,0.00022,4e-05,4e-05,4e-05,0.19095,0.18420999999999998,0.18423,-0.00675,-0.00672
