hPa,LBL_g1,LBLg_g1,LBLk_g1,LBL_g2,LBLg_g2,LBLk_g2,LBL_g3,LBLg_g3,LBLk_g3,LBL_g4,LBLg_g4,LBLk_g4,LBL_g5,LBLg_g5,LBLk_g5,LBL_g6,LBLg_g6,LBLk_g6,LBL_tot,LBLg_tot,LBLk_tot
26.9872,0.00076182,6.036e-05,6.077e-05,0.01662307,0.02039582,0.02039019,0.01929648,0.01812388,0.01818216,0.00530513,0.00522064,0.00525134,0.00393392,0.00363627,0.00366173,0.0025732,0.00219812,0.00221616,0.04849362,0.04963508,0.04976234
37.8553,0.000201,4.22e-06,4.27e-06,0.01205913,0.01580004,0.01579503,0.02118048,0.020563,0.0206143,0.00731363,0.00717852,0.00720948,0.00513443,0.00473051,0.00475581,0.00274276,0.00234447,0.00236205,0.04863143,0.05062075,0.05074093
53.1,4.236e-05,1.5e-07,1.5e-07,0.00747912,0.01044757,0.01044001,0.02179907,0.02301913,0.02306593,0.0099274,0.00974628,0.00979065,0.00672553,0.00616938,0.00620162,0.00300138,0.00256669,0.00258628,0.04897485,0.05194919,0.05208465
73.8875,8.14e-06,0.0,0.0,0.00403957,0.00558483,0.00558199,0.02007642,0.02465591,0.0246865,0.01300901,0.01285917,0.01291587,0.00872617,0.00796956,0.0080103,0.00336608,0.00287932,0.00290235,0.04922539,0.05394879,0.05409701
97.6625,1.88e-06,0.0,0.0,0.00226631,0.00258825,0.00259249,0.01668902,0.02455911,0.02455888,0.01575209,0.01580689,0.01583398,0.01081514,0.00984606,0.00987578,0.00379589,0.0032476,0.00326933,0.04932034,0.0560479,0.05613045
121.4375,6.1e-07,0.0,0.0,0.00147666,0.00119148,0.00119394,0.01327045,0.0229846,0.02296218,0.01763012,0.01806445,0.01809567,0.0127184,0.01155926,0.011593,0.00422966,0.00361962,0.003642,0.04932591,0.0574194,0.05748679
145.2125,2.5e-07,0.0,0.0,0.00105945,0.00055709,0.00055863,0.0103689,0.02059318,0.02054202,0.01873033,0.01966145,0.01970569,0.0144502,0.01312343,0.01316762,0.00465459,0.00398477,0.00400662,0.04926373,0.05791992,0.05798058
168.9875,1.2e-07,0.0,0.0,0.0008117,0.00026772,0.0002692,0.00809308,0.01787555,0.01782656,0.01915581,0.02062309,0.02064539,0.01603968,0.01456945,0.01460862,0.00508032,0.00435151,0.00437168,0.04918071,0.05768732,0.05772145
192.7625,6e-08,0.0,0.0,0.00065946,0.00013301,0.00013403,0.00641681,0.01515338,0.01512768,0.01901872,0.02097417,0.02097471,0.01752456,0.01594339,0.01596501,0.00553283,0.00474227,0.00475335,0.04915244,0.05694622,0.05695477
216.5375,4e-08,0.0,0.0,0.00055971,6.836e-05,6.892e-05,0.0052174,0.01263307,0.01259412,0.01848852,0.02081634,0.02081679,0.01891458,0.01725539,0.01729815,0.00601317,0.00515808,0.00518425,0.04919341,0.05593124,0.05596222
240.3125,2e-08,0.0,0.0,0.0004853,3.625e-05,3.66e-05,0.00434133,0.01041132,0.01039738,0.01771775,0.02027808,0.02027064,0.02018289,0.01847215,0.01850725,0.00649379,0.00557554,0.0056042,0.04922108,0.05477334,0.05481607
264.0875,1e-08,0.0,0.0,0.00042669,1.981e-05,2.002e-05,0.00369455,0.00851492,0.00850477,0.01680633,0.01945923,0.0194439,0.02133395,0.01959489,0.01963612,0.00696959,0.00599044,0.00602711,0.04923113,0.05357929,0.05363191
287.8625,1e-08,0.0,0.0,0.00037931,1.113e-05,1.126e-05,0.00321214,0.00692889,0.00691666,0.01581941,0.01843731,0.01841985,0.02237556,0.02063008,0.0206816,0.00744102,0.00640332,0.00644914,0.04922745,0.05241073,0.05247851
311.6375,1e-08,0.0,0.0,0.00034016,6.43e-06,6.5e-06,0.00284649,0.00562005,0.00562731,0.01480122,0.01727675,0.01725414,0.02331202,0.02158113,0.02159683,0.00790774,0.00681401,0.00684756,0.04920765,0.05129837,0.05133234
335.4125,0.0,0.0,0.0,0.00030724,3.8e-06,3.85e-06,0.00256368,0.00455003,0.00454833,0.01378286,0.01603277,0.01600044,0.02414756,0.0224512,0.02248254,0.00836944,0.00722239,0.00726552,0.04917079,0.05026019,0.05030067
359.1875,0.0,0.0,0.0,0.00027914,2.3e-06,2.33e-06,0.00233988,0.00368087,0.00367834,0.01278549,0.01475124,0.01471634,0.02488639,0.02324329,0.02327596,0.00882574,0.00762828,0.00767538,0.04911665,0.04930599,0.04934835
382.9625,0.0,0.0,0.0,0.00025485,1.42e-06,1.44e-06,0.00215852,0.00297791,0.00298192,0.01182301,0.01346913,0.01343974,0.02553271,0.02396029,0.02396752,0.00927625,0.00803144,0.00806919,0.04904533,0.0484402,0.04845981
406.7375,0.0,0.0,0.0,0.00023354,9e-07,9.1e-07,0.00200729,0.00241005,0.00241705,0.01090014,0.01221095,0.0121864,0.02608066,0.02459605,0.02459482,0.00971666,0.00842828,0.00846365,0.04893829,0.04764623,0.04766282
430.5125,0.0,0.0,0.0,0.00021474,5.8e-07,5.8e-07,0.00187899,0.0019529,0.00195643,0.01002659,0.01100339,0.01097462,0.02654307,0.02516078,0.02518095,0.01014928,0.00882089,0.00887052,0.04881267,0.04693854,0.0469831
454.2875,0.0,0.0,0.0,0.00019803,3.8e-07,3.8e-07,0.00176812,0.00158515,0.00158895,0.00920547,0.0098622,0.00983858,0.02692605,0.02565892,0.02568266,0.01057412,0.00920938,0.00926299,0.0486718,0.04631604,0.04637356
478.0625,0.0,0.0,0.0,0.00018311,2.5e-07,2.5e-07,0.0016708,0.00128921,0.00129457,0.00843728,0.00879686,0.00878359,0.02723404,0.02609344,0.02610752,0.01099078,0.0095935,0.0096419,0.048516,0.04577326,0.04582784
501.8375,0.0,0.0,0.0,0.00016971,1.7e-07,1.7e-07,0.00158431,0.00105084,0.00105771,0.00772137,0.00781253,0.00781096,0.02747166,0.0264675,0.02646348,0.01139921,0.0099733,0.01000928,0.04834625,0.04530434,0.0453416
525.6125,0.0,0.0,0.0,0.00015765,1.2e-07,1.2e-07,0.00150672,0.00085857,0.00086291,0.00705636,0.0069111,0.00689846,0.02764358,0.02678436,0.02679083,0.0117996,0.01034902,0.01039905,0.0481639,0.04490316,0.04495137
549.3875,0.0,0.0,0.0,0.00014674,8e-08,8e-08,0.00143658,0.00070323,0.00070649,0.00644041,0.00609197,0.00607718,0.02775433,0.02704714,0.02705547,0.01219216,0.01072091,0.01077738,0.04797023,0.04456333,0.04461661
573.1625,0.0,0.0,0.0,0.00013687,6e-08,6e-08,0.00137275,0.00057748,0.00058038,0.00587139,0.00535268,0.00534096,0.02780831,0.02725889,0.02726269,0.01257701,0.01108914,0.01114514,0.04776633,0.04427826,0.04432924
596.9375,0.0,0.0,0.0,0.00012789,4e-08,4e-08,0.00131432,0.00047547,0.00047832,0.00534695,0.00468948,0.00468341,0.02780971,0.0274225,0.02741726,0.0129542,0.01145384,0.01150307,0.04755306,0.04404133,0.0440821
620.7125,0.0,0.0,0.0,0.0001197,3e-08,3e-08,0.00126055,0.00039252,0.0003954,0.00486466,0.00409771,0.00409812,0.02776257,0.02754079,0.02752343,0.01332372,0.01181504,0.01185184,0.04733121,0.0438461,0.04386882
644.4875,0.0,0.0,0.0,0.00011222,2e-08,2e-08,0.00121085,0.00032492,0.00032738,0.00442202,0.00357218,0.00357161,0.02767078,0.02761648,0.02759534,0.01368556,0.01217281,0.01221141,0.04710142,0.0436864,0.04370577
668.2625,0.0,0.0,0.0,0.00010535,1e-08,2e-08,0.00116456,0.00026965,0.00027161,0.004016,0.00310707,0.00310358,0.02753429,0.02764868,0.02763222,0.01403775,0.01252542,0.01257632,0.04685794,0.04355082,0.04358375
692.0375,0.0,0.0,0.0,9.904e-05,1e-08,1e-08,0.00112135,0.00022436,0.00022604,0.00364451,0.00269721,0.00269395,0.02735823,0.02764134,0.02762916,0.01438087,0.01287343,0.01293204,0.046604,0.04343636,0.0434812
715.8125,0.0,0.0,0.0,9.323e-05,1e-08,1e-08,0.00108097,0.00018719,0.00018867,0.00330552,0.00233751,0.00233594,0.02714863,0.02759937,0.02758936,0.01471617,0.01321798,0.01327907,0.04634452,0.04334206,0.04339305
739.5875,0.0,0.0,0.0,8.787e-05,1e-08,1e-08,0.00104314,0.0001566,0.00015793,0.00299663,0.00202275,0.00202349,0.02690867,0.02752512,0.02751573,0.01504356,0.01355902,0.0136178,0.04607987,0.04326349,0.04331496
763.3625,0.0,0.0,0.0,8.292e-05,0.0,0.0,0.00100756,0.00013135,0.00013256,0.00271555,0.00174807,0.00175115,0.02664132,0.02742081,0.02741096,0.01536283,0.01389638,0.01394846,0.04581017,0.04319661,0.04324313
787.1375,0.0,0.0,0.0,7.833e-05,0.0,0.0,0.00097397,0.00011045,0.00011156,0.00246012,0.00150892,0.00151408,0.0263493,0.02728851,0.02727746,0.01567344,0.01422961,0.01427095,0.04553516,0.0431375,0.04317407
810.9125,0.0,0.0,0.0,7.406e-05,0.0,0.0,0.00094209,9.312e-05,9.407e-05,0.00222827,0.00130116,0.00130496,0.02603501,0.02713007,0.02711916,0.01597425,0.0145577,0.01460498,0.04525368,0.04308205,0.04312318
834.6875,0.0,0.0,0.0,7.007e-05,0.0,0.0,0.00091161,7.87e-05,7.95e-05,0.00201804,0.00112104,0.00112324,0.02570052,0.02694713,0.02693639,0.01626342,0.01487896,0.01493649,0.04496366,0.04302584,0.04307562
858.4625,0.0,0.0,0.0,6.634e-05,0.0,0.0,0.00088228,6.668e-05,6.736e-05,0.00182761,0.00096514,0.0009667,0.02534784,0.02674139,0.02673022,0.01653926,0.01519183,0.01525533,0.04466333,0.04296504,0.04301962
882.2375,0.0,0.0,0.0,6.283e-05,0.0,0.0,0.00085405,5.663e-05,5.721e-05,0.00165524,0.00083037,0.00083187,0.02497928,0.02651479,0.02650285,0.01680163,0.01549611,0.01556174,0.04435304,0.04289791,0.04295367
906.0125,0.0,0.0,0.0,5.955e-05,0.0,0.0,0.00082698,4.821e-05,4.871e-05,0.00149932,0.000714,0.00071572,0.0245974,0.02626947,0.02625656,0.01705212,0.01579316,0.01585741,0.04403537,0.04282483,0.0428784
929.7875,0.0,0.0,0.0,5.649e-05,0.0,0.0,0.00080116,4.113e-05,4.157e-05,0.00135836,0.0006136,0.00061565,0.0242046,0.02600744,0.02599346,0.01729265,0.01608464,0.01614431,0.04371325,0.04274681,0.04279499
953.5625,0.0,0.0,0.0,5.364e-05,0.0,0.0,0.00077659,3.517e-05,3.555e-05,0.001231,0.00052706,0.00052945,0.02380293,0.02573044,0.02571534,0.01752452,0.01637173,0.01642383,0.04338868,0.0426644,0.04270418
977.3375,0.0,0.0,0.0,5.098e-05,0.0,0.0,0.00075322,3.014e-05,3.047e-05,0.00111602,0.00045253,0.00045521,0.02339413,0.02543997,0.02542377,0.01774848,0.01665505,0.01669682,0.04306283,0.04257769,0.04260627
1001.1125,0.0,0.0,0.0,4.849e-05,0.0,0.0,0.000731,2.589e-05,2.617e-05,0.00101225,0.0003884,0.00039123,0.02297973,0.02513738,0.02512013,0.01796489,0.0169349,0.01696495,0.04273637,0.04248658,0.04250249
