hPa,LBL_g1,LBLg_g1,LBLk_g1,LBL_g2,LBLg_g2,LBLk_g2,LBL_g3,LBLg_g3,LBLk_g3,LBL_g4,LBLg_g4,LBLk_g4,LBL_g5,LBLg_g5,LBLk_g5,LBL_g6,LBLg_g6,LBLk_g6,LBL_tot,LBLg_tot,LBLk_tot
180.875,1e-06,0.0,0.0,0.024933,0.000839,0.000846,0.35638,0.237653,0.237566,0.752109,0.745024,0.744309,5.591032,5.609467,5.608784,219.931692,219.943,219.942594,226.65615,226.53598,226.5341
204.65,0.0,0.0,0.0,0.023006,0.000448,0.000452,0.338357,0.194644,0.194626,0.69843,0.685794,0.685071,5.541767,5.564684,5.563926,219.916211,219.929732,219.929283,226.51777,226.3753,226.37336
228.425,0.0,0.0,0.0,0.021428,0.000248,0.00025,0.323995,0.158732,0.158818,0.646046,0.626703,0.625964,5.488801,5.516485,5.515582,219.899609,219.915491,219.914961,226.37988,226.21766,226.21558
252.2,0.0,0.0,0.0,0.020104,0.000141,0.000143,0.312331,0.129103,0.129229,0.595719,0.568866,0.568141,5.432467,5.465142,5.464113,219.881908,219.900293,219.899676,226.24253,226.06355,226.0613
275.975,0.0,0.0,0.0,0.018971,8.3e-05,8.4e-05,0.302646,0.104867,0.105025,0.547942,0.513172,0.512496,5.373083,5.410906,5.409739,219.863133,219.884153,219.88343,226.10578,225.91318,225.91077
299.75,0.0,0.0,0.0,0.017986,5e-05,5.1e-05,0.294417,0.085159,0.085357,0.502999,0.460298,0.459685,5.310945,5.354007,5.352672,219.843297,219.867081,219.866227,225.96964,225.7666,225.76399
323.525,0.0,0.0,0.0,0.017108,3.1e-05,3.2e-05,0.287229,0.069198,0.069378,0.461046,0.410767,0.410225,5.24631,5.294603,5.2932,219.822372,219.849045,219.848099,225.83406,225.62364,225.62093
347.3,0.0,0.0,0.0,0.016309,2e-05,2e-05,0.280773,0.056301,0.056488,0.422109,0.364918,0.36448,5.179406,5.232815,5.231304,219.800301,219.829993,219.828929,225.6989,225.48405,225.48122
371.075,0.0,0.0,0.0,0.015573,1.3e-05,1.3e-05,0.274866,0.045889,0.046083,0.386106,0.322876,0.32255,5.110476,5.168808,5.167188,219.777067,219.809905,219.808711,225.56409,225.34749,225.34455
394.85,0.0,0.0,0.0,0.014891,8e-06,9e-06,0.269398,0.037482,0.037663,0.352911,0.284631,0.284387,5.039786,5.102795,5.101121,219.752687,219.788791,219.787488,225.42967,225.21371,225.21067
