hPa,LBL_g1,LBLg_g1,LBLk_g1,LBL_g2,LBLg_g2,LBLk_g2,LBL_g3,LBLg_g3,LBLk_g3,LBL_g4,LBLg_g4,LBLk_g4,LBL_g5,LBLg_g5,LBLk_g5,LBL_g6,LBLg_g6,LBLk_g6,LBL_tot,LBLg_tot,LBLk_tot
53.1,6.5e-07,0.0,0.0,0.00272474,0.00270589,0.00270142,0.01576414,0.01945671,0.0194758,0.00949267,0.00949429,0.0095333,0.00659836,0.00608881,0.00611399,0.00291912,0.00251045,0.00252176,0.03749968,0.04025614,0.04034627
73.8875,7e-08,0.0,0.0,0.00134522,0.00077683,0.00077639,0.01251514,0.01873978,0.01874896,0.0118439,0.01210749,0.01215712,0.00857576,0.00790141,0.0079406,0.00333082,0.00286591,0.00288762,0.0376109,0.04239142,0.04251069
97.6625,1e-08,0.0,0.0,0.00074881,0.00016873,0.00016923,0.00901135,0.01613843,0.01612402,0.0134689,0.01422378,0.01424225,0.01057732,0.00975189,0.00978139,0.00378556,0.00325851,0.00328102,0.03759195,0.04354135,0.0435979
121.4375,0.0,0.0,0.0,0.00048055,3.683e-05,3.699e-05,0.00636722,0.01282283,0.01279792,0.01408389,0.01541742,0.01543599,0.01233107,0.01139343,0.01142717,0.00422121,0.00363548,0.00365961,0.03748394,0.04330598,0.04335768
145.2125,0.0,0.0,0.0,0.0003345,8.38e-06,8.44e-06,0.00454285,0.00961944,0.00958737,0.01392988,0.01577631,0.01580114,0.01386841,0.01285426,0.01289856,0.00464141,0.00400054,0.00402541,0.03731705,0.04225893,0.04232092
168.9875,0.0,0.0,0.0,0.00024669,2.03e-06,2.05e-06,0.00334096,0.00692013,0.00689734,0.01326121,0.01543619,0.01543931,0.01521475,0.01415848,0.01419528,0.00505108,0.00435835,0.00437918,0.0371147,0.04087517,0.04091317
192.7625,0.0,0.0,0.0,0.00018995,5.2e-07,5.3e-07,0.00256047,0.00482857,0.00481964,0.01229754,0.01456401,0.01455151,0.01638538,0.01532078,0.01534474,0.00545063,0.00470959,0.00472474,0.03688396,0.03942348,0.03944117
216.5375,0.0,0.0,0.0,0.00015119,1.5e-07,1.5e-07,0.00204797,0.00329575,0.00328684,0.01119828,0.01332855,0.01331739,0.01739212,0.0163525,0.01639902,0.00584018,0.00505469,0.00508347,0.03662973,0.03803163,0.03808686
240.3125,0.0,0.0,0.0,0.00012351,4e-08,4e-08,0.0017005,0.00221478,0.00221349,0.01006684,0.01188331,0.01186596,0.01824496,0.01726286,0.01730204,0.00621982,0.00539395,0.00542482,0.03635563,0.03675495,0.03680635
264.0875,0.0,0.0,0.0,0.000103,1e-08,1e-08,0.0014543,0.00147267,0.00147245,0.00896451,0.01035647,0.01033382,0.01895312,0.01805985,0.01810238,0.00658969,0.00572774,0.0057656,0.03606462,0.03561674,0.03567426
287.8625,0.0,0.0,0.0,8.749e-05,0.0,0.0,0.00127303,0.0009726,0.00097245,0.00792442,0.00884552,0.00882333,0.01952728,0.01875328,0.01880417,0.00695231,0.0060584,0.00610457,0.03576453,0.03462981,0.03470454
311.6375,0.0,0.0,0.0,7.619e-05,0.0,0.0,0.00114257,0.00063983,0.00064214,0.00696296,0.0074146,0.00739415,0.01998754,0.01936731,0.01938449,0.00732353,0.00639974,0.00643227,0.03549281,0.03382148,0.03385306
335.4125,0.0,0.0,0.0,6.806e-05,0.0,0.0,0.00104998,0.00042033,0.00042135,0.00609055,0.00611186,0.00609029,0.02034962,0.01991526,0.01994461,0.00771245,0.00675968,0.00680168,0.03527065,0.03320714,0.03325794
359.1875,0.0,0.0,0.0,6.15e-05,0.0,0.0,0.00097709,0.00027635,0.00027716,0.00530952,0.00496942,0.00495066,0.02061375,0.02038377,0.02041242,0.00810543,0.00712673,0.00717263,0.03506729,0.03275626,0.03281287
382.9625,0.0,0.0,0.0,5.578e-05,0.0,0.0,0.00091427,0.00018203,0.00018314,0.00461337,0.00399285,0.00398058,0.02077567,0.02075996,0.02077046,0.00848976,0.00749006,0.00752872,0.03484885,0.03242489,0.0324629
406.7375,0.0,0.0,0.0,5.072e-05,0.0,0.0,0.00085903,0.00012027,0.00012126,0.00399644,0.00317482,0.00316626,0.02084628,0.02105008,0.0210529,0.00886524,0.00784967,0.0078861,0.03461771,0.03219484,0.03222651
430.5125,0.0,0.0,0.0,4.624e-05,0.0,0.0,0.00080995,7.978e-05,8.038e-05,0.0034526,0.00250113,0.00249303,0.02083717,0.02126182,0.02128097,0.00923281,0.00820655,0.00825684,0.03437877,0.03204928,0.03211122
454.2875,0.0,0.0,0.0,4.225e-05,0.0,0.0,0.00076587,5.316e-05,5.363e-05,0.00297505,0.00195402,0.00194861,0.02075635,0.02139982,0.02141968,0.00959215,0.00856054,0.00861453,0.03413166,0.03196754,0.03203645
478.0625,0.0,0.0,0.0,3.867e-05,0.0,0.0,0.00072592,3.559e-05,3.599e-05,0.00255733,0.00151515,0.00151274,0.02061149,0.02146873,0.02147827,0.00994287,0.00891143,0.00896002,0.03387629,0.0319309,0.03198701
501.8375,0.0,0.0,0.0,3.547e-05,0.0,0.0,0.00068943,2.395e-05,2.428e-05,0.00219331,0.0011669,0.00116681,0.02040989,0.02147318,0.02146591,0.01028454,0.00925897,0.00929494,0.03361264,0.031923,0.03195194
525.6125,0.0,0.0,0.0,3.258e-05,0.0,0.0,0.00065586,1.62e-05,1.641e-05,0.00187724,0.0008932,0.00089175,0.02015837,0.02141777,0.02141884,0.01061666,0.00960282,0.00965264,0.03334072,0.03192999,0.03197964
