hPa,LBL_g1,LBLg_g1,LBLk_g1,LBL_g2,LBLg_g2,LBLk_g2,LBL_g3,LBLg_g3,LBLk_g3,LBL_g4,LBLg_g4,LBLk_g4,LBL_g5,LBLg_g5,LBLk_g5,LBL_g6,LBLg_g6,LBLk_g6,LBL_tot,LBLg_tot,LBLk_tot
228.425,0.0,0.0,0.0,0.021846,0.000245,0.000248,0.326179,0.157293,0.157414,0.644542,0.624218,0.623502,5.489909,5.517845,5.516967,219.900543,219.91629,219.915805,226.38302,226.21589,226.21394
252.2,0.0,0.0,0.0,0.020328,0.000139,0.000141,0.313691,0.128081,0.128234,0.595064,0.567468,0.56677,5.433015,5.465743,5.464761,219.882201,219.900544,219.899971,226.2443,226.06198,226.05988
275.975,0.0,0.0,0.0,0.018991,8.1e-05,8.2e-05,0.303005,0.104187,0.104364,0.548077,0.513011,0.512354,5.372862,5.410464,5.409363,219.862504,219.883617,219.882935,226.10544,225.91136,225.9091
299.75,0.0,0.0,0.0,0.017801,4.9e-05,4.9e-05,0.293676,0.084743,0.08495,0.503805,0.461413,0.460806,5.30976,5.352257,5.351009,219.841462,219.865513,219.864697,225.9665,225.76397,225.76151
323.525,0.0,0.0,0.0,0.016734,3e-05,3e-05,0.285384,0.068969,0.069153,0.462344,0.413061,0.412518,5.244005,5.291359,5.290068,219.819089,219.846237,219.845325,225.82756,225.61966,225.61709
347.3,0.0,0.0,0.0,0.015769,1.9e-05,1.9e-05,0.2779,0.056197,0.056385,0.423707,0.368187,0.367737,5.175882,5.227998,5.226623,219.795397,219.825796,219.82476,225.68865,225.4782,225.47552
371.075,0.0,0.0,0.0,0.014893,1.2e-05,1.2e-05,0.271058,0.045864,0.046057,0.387841,0.326895,0.326546,5.105664,5.162395,5.160935,219.7704,219.804194,219.803026,225.54986,225.33936,225.33658
394.85,0.0,0.0,0.0,0.014093,8e-06,8e-06,0.26474,0.037504,0.037684,0.354663,0.289193,0.288925,5.033627,5.094776,5.093292,219.744119,219.781443,219.780165,225.41124,225.20292,225.20007
418.625,0.0,0.0,0.0,0.01336,5e-06,5e-06,0.25886,0.030738,0.030896,0.324061,0.255011,0.254808,4.96004,5.025362,5.023875,219.716577,219.757558,219.756174,225.2729,225.06867,225.06576
442.4,0.0,0.0,0.0,0.012687,3e-06,4e-06,0.253352,0.025255,0.025402,0.295898,0.224204,0.224079,4.885139,4.954349,4.952801,219.687792,219.732544,219.731016,225.13487,224.93636,224.9333
466.175,0.0,0.0,0.0,0.012065,2e-06,2e-06,0.248164,0.020804,0.020939,0.270033,0.196588,0.196528,4.809147,4.881923,4.880307,219.657781,219.706411,219.704727,224.99719,224.80573,224.8025
489.95,0.0,0.0,0.0,0.011491,2e-06,2e-06,0.243257,0.017183,0.017302,0.246317,0.171951,0.171929,4.732274,4.808262,4.806607,219.626563,219.679165,219.677342,224.8599,224.67656,224.67318
513.725,0.0,0.0,0.0,0.010958,1e-06,1e-06,0.2386,0.014231,0.014331,0.224608,0.150067,0.15005,4.654717,4.733538,4.731895,219.594156,219.650816,219.648889,224.72304,224.54865,224.54517
537.5,0.0,0.0,0.0,0.010464,1e-06,1e-06,0.234167,0.011819,0.011906,0.204762,0.130704,0.130724,4.576661,4.65791,4.656254,219.560579,219.621371,219.619301,224.58663,224.42181,224.41819
561.275,0.0,0.0,0.0,0.010003,1e-06,1e-06,0.229936,0.009844,0.009921,0.186644,0.113631,0.113694,4.49828,4.581532,4.579862,219.525853,219.590839,219.588609,224.45072,224.29585,224.29209
585.05,0.0,0.0,0.0,0.009574,0.0,0.0,0.22589,0.008221,0.00829,0.170121,0.098626,0.098724,4.419734,4.50455,4.502881,219.489998,219.559229,219.556842,224.31532,224.17063,224.16674
608.825,0.0,0.0,0.0,0.009173,0.0,0.0,0.222013,0.006885,0.006946,0.15507,0.085476,0.085593,4.341173,4.427101,4.425462,219.453033,219.526549,219.524026,224.18046,224.04601,224.04203
632.6,0.0,0.0,0.0,0.008798,0.0,0.0,0.218294,0.005782,0.005835,0.141375,0.073982,0.074098,4.262748,4.349326,4.347741,219.414988,219.492814,219.490187,224.0462,223.9219,223.91786
656.375,0.0,0.0,0.0,0.008446,0.0,0.0,0.21472,0.004869,0.004914,0.128925,0.06396,0.064076,4.184595,4.271354,4.269819,219.37589,219.458039,219.455296,223.91258,223.79822,223.79411
680.15,0.0,0.0,0.0,0.008117,0.0,0.0,0.211283,0.004111,0.004151,0.117615,0.055239,0.055363,4.106829,4.193301,4.191798,219.335764,219.422237,219.419344,223.77961,223.67489,223.67066
703.925,0.0,0.0,0.0,0.007808,0.0,0.0,0.207975,0.00348,0.003515,0.107347,0.047663,0.047795,4.029562,4.115274,4.113795,219.294648,219.385429,219.382368,223.64734,223.55185,223.54747
727.7,0.0,0.0,0.0,0.007517,0.0,0.0,0.20479,0.002954,0.002985,0.09803,0.041092,0.041227,3.952895,4.037378,4.035921,219.252585,219.347646,219.344413,223.51582,223.42907,223.42454
751.475,0.0,0.0,0.0,0.007245,0.0,0.0,0.201725,0.002514,0.002541,0.08958,0.035399,0.035532,3.876922,3.959712,3.958276,219.209626,219.308921,219.305524,223.3851,223.30655,223.30187
775.25,0.0,0.0,0.0,0.006989,0.0,0.0,0.198772,0.002144,0.002168,0.081919,0.030475,0.030599,3.801724,3.882361,3.880951,219.165808,219.269278,219.265738,223.25521,223.18426,223.17946
799.025,0.0,0.0,0.0,0.006747,0.0,0.0,0.195925,0.001834,0.001854,0.074975,0.02622,0.02633,3.727369,3.805402,3.804022,219.121155,219.228728,219.225077,223.12617,223.06218,223.05728
822.8,0.0,0.0,0.0,0.00652,0.0,0.0,0.193176,0.001572,0.001589,0.068684,0.022548,0.022648,3.653912,3.728904,3.727556,219.075677,219.18727,219.183494,222.99797,222.94029,222.93529
846.575,0.0,0.0,0.0,0.006305,0.0,0.0,0.190517,0.00135,0.001365,0.062985,0.019383,0.019477,3.581403,3.652928,3.651614,219.029379,219.1449,219.140974,222.87059,222.81856,222.81343
870.35,0.0,0.0,0.0,0.006102,0.0,0.0,0.187944,0.001163,0.001176,0.057823,0.016657,0.016747,3.509885,3.577533,3.576256,218.982273,219.101615,219.097527,222.74403,222.69697,222.69171
894.125,0.0,0.0,0.0,0.00591,0.0,0.0,0.18545,0.001003,0.001015,0.053147,0.014311,0.014397,3.439397,3.502774,3.501539,218.934373,219.05742,219.053168,222.61828,222.57551,222.57012
917.9,0.0,0.0,0.0,0.005727,0.0,0.0,0.183031,0.000868,0.000878,0.048911,0.012293,0.012374,3.369974,3.428701,3.427513,218.885697,219.012319,219.007914,222.49334,222.45418,222.44868
941.675,0.0,0.0,0.0,0.005554,0.0,0.0,0.180684,0.000752,0.000761,0.045072,0.010558,0.010634,3.301646,3.355363,3.354227,218.836267,218.966322,218.961784,222.36922,222.333,222.32741
965.45,0.0,0.0,0.0,0.005389,0.0,0.0,0.178405,0.000653,0.000661,0.041593,0.009068,0.009137,3.234446,3.282808,3.281723,218.786108,218.919441,218.914794,222.24594,222.21197,222.20632
989.225,0.0,0.0,0.0,0.005233,0.0,0.0,0.176191,0.000568,0.000575,0.038439,0.007788,0.00785,3.168399,3.211082,3.210041,218.735247,218.871689,218.866961,222.12351,222.09113,222.08543
1013.0,0.0,0.0,0.0,0.005084,0.0,0.0,0.174039,0.000496,0.000501,0.035578,0.006689,0.006743,3.103519,3.140217,3.139216,218.683703,218.823075,218.8183,222.00192,221.97048,221.96476
