hPa,LBL_g1,LBLg_g1,PAR_g1,LBL_g2,LBLg_g2,PAR_g2,LBL_g3,LBLg_g3,PAR_g3,LBL_g4,LBLg_g4,PAR_g4,LBL_g5,LBLg_g5,PAR_g5,LBL_g6,LBLg_g6,PAR_g6,LBL_g7,LBLg_g7,PAR_g7,LBL_g8,LBLg_g8,PAR_g8,LBL_g9,LBLg_g9,PAR_g9,LBL_g10,LBLg_g10,PAR_g10,LBL_tot,LBLg_tot,PAR_tot,LBLg - LBL,PAR - LBL
0.0158,0.00311344,0.00300007,0.00300248,0.00116565,0.00107746,0.00107747,0.0006696,0.00041861,0.00041901,0.00018956,0.00012007,0.0001203,2.914e-05,2.087e-05,2.093e-05,1.588e-05,1.159e-05,1.164e-05,8.24e-06,6.12e-06,6.15e-06,4.17e-06,3.55e-06,3.57e-06,1.89e-06,1.76e-06,1.77e-06,1.54e-06,1.46e-06,1.48e-06,0.0051991,0.00466155,0.00466482,-0.00053755,-0.00053428
0.0221,0.00310985,0.00299686,0.00299928,0.00116731,0.00107903,0.00107902,0.00067041,0.00041922,0.00041962,0.00019013,0.00012045,0.00012067,2.924e-05,2.094e-05,2.101e-05,1.595e-05,1.165e-05,1.17e-05,8.29e-06,6.15e-06,6.19e-06,4.19e-06,3.56e-06,3.59e-06,1.9e-06,1.77e-06,1.78e-06,1.54e-06,1.47e-06,1.49e-06,0.00519881,0.0046611,0.00466436,-0.00053771,-0.00053445
0.031,0.00310613,0.00299358,0.00299602,0.00116899,0.00108061,0.00108059,0.00067123,0.00041985,0.00042024,0.00019072,0.00012083,0.00012106,2.935e-05,2.102e-05,2.109e-05,1.602e-05,1.17e-05,1.175e-05,8.33e-06,6.18e-06,6.22e-06,4.21e-06,3.58e-06,3.61e-06,1.91e-06,1.78e-06,1.79e-06,1.55e-06,1.48e-06,1.5e-06,0.00519844,0.00466063,0.00466388,-0.00053781,-0.00053456
0.0435,0.00310134,0.00298938,0.00299183,0.00117112,0.00108264,0.00108262,0.00067228,0.00042065,0.00042104,0.00019147,0.00012132,0.00012154,2.948e-05,2.112e-05,2.119e-05,1.611e-05,1.177e-05,1.182e-05,8.39e-06,6.23e-06,6.26e-06,4.24e-06,3.61e-06,3.64e-06,1.93e-06,1.79e-06,1.81e-06,1.57e-06,1.5e-06,1.52e-06,0.00519792,0.00466,0.00466327,-0.00053792,-0.00053465
0.0611,0.00308556,0.00297502,0.00297749,0.00117855,0.00108962,0.00108958,0.00067598,0.00042339,0.00042378,0.00019409,0.00012302,0.00012324,2.995e-05,2.147e-05,2.154e-05,1.644e-05,1.201e-05,1.206e-05,8.59e-06,6.37e-06,6.41e-06,4.34e-06,3.7e-06,3.73e-06,1.98e-06,1.84e-06,1.86e-06,1.62e-06,1.55e-06,1.57e-06,0.0051971,0.00465799,0.00466125,-0.00053911,-0.00053585
0.0856,0.00305432,0.00294633,0.00294882,0.0011932,0.00110338,0.00110332,0.00068353,0.00042889,0.00042927,0.00019944,0.00012644,0.00012666,3.092e-05,2.219e-05,2.225e-05,1.712e-05,1.25e-05,1.255e-05,9.01e-06,6.68e-06,6.72e-06,4.56e-06,3.88e-06,3.91e-06,2.09e-06,1.94e-06,1.96e-06,1.73e-06,1.65e-06,1.67e-06,0.00519592,0.00465386,0.00465713,-0.00054206,-0.00053879
0.1201,0.00301686,0.00291195,0.00291446,0.00121024,0.00111937,0.00111935,0.00069277,0.0004355,0.00043587,0.00020603,0.0001306,0.00013082,3.214e-05,2.307e-05,2.313e-05,1.798e-05,1.311e-05,1.316e-05,9.54e-06,7.06e-06,7.1e-06,4.84e-06,4.11e-06,4.14e-06,2.23e-06,2.07e-06,2.09e-06,1.88e-06,1.79e-06,1.81e-06,0.00519451,0.00464862,0.00465193,-0.00054589,-0.00054258
0.1685,0.00297797,0.00287639,0.00287889,0.00122721,0.00113532,0.00113543,0.00070251,0.00044236,0.00044273,0.00021303,0.00013498,0.00013519,3.346e-05,2.401e-05,2.407e-05,1.892e-05,1.377e-05,1.381e-05,1.013e-05,7.48e-06,7.51e-06,5.15e-06,4.37e-06,4.4e-06,2.39e-06,2.22e-06,2.23e-06,2.04e-06,1.94e-06,1.96e-06,0.00519282,0.00464282,0.00464622,-0.00055,-0.0005466
0.2364,0.00293767,0.00283973,0.00284219,0.00124398,0.00115112,0.00115145,0.00071273,0.00044946,0.00044983,0.00022045,0.00013958,0.00013977,3.49e-05,2.501e-05,2.506e-05,1.995e-05,1.447e-05,1.451e-05,1.079e-05,7.93e-06,7.95e-06,5.5e-06,4.65e-06,4.67e-06,2.57e-06,2.38e-06,2.39e-06,2.23e-06,2.12e-06,2.14e-06,0.00519075,0.00463645,0.00463997,-0.0005543,-0.00055078
0.3315,0.0028958,0.0028019,0.00280426,0.00126049,0.00116673,0.0011674,0.00072343,0.00045682,0.00045719,0.0002283,0.00014443,0.00014458,3.645e-05,2.609e-05,2.612e-05,2.108e-05,1.523e-05,1.526e-05,1.151e-05,8.41e-06,8.43e-06,5.88e-06,4.97e-06,4.98e-06,2.77e-06,2.56e-06,2.57e-06,2.44e-06,2.32e-06,2.33e-06,0.00518815,0.00462945,0.00463312,-0.0005587,-0.00055503
