hPa,LBL_g1,LBLg_g1,PAR_g1,LBL_g2,LBLg_g2,PAR_g2,LBL_g3,LBLg_g3,PAR_g3,LBL_g4,LBLg_g4,PAR_g4,LBL_g5,LBLg_g5,PAR_g5,LBL_g6,LBLg_g6,PAR_g6,LBL_g7,LBLg_g7,PAR_g7,LBL_g8,LBLg_g8,PAR_g8,LBL_g9,LBLg_g9,PAR_g9,LBL_g10,LBLg_g10,PAR_g10,LBL_tot,LBLg_tot,PAR_tot,LBLg - LBL,PAR - LBL
0.0158,0.00383728,0.00369723,0.0037002,0.00143211,0.00132372,0.00132372,0.0008229,0.00051431,0.0005148,0.00023244,0.00014723,0.0001475,3.571e-05,2.557e-05,2.565e-05,1.943e-05,1.419e-05,1.425e-05,1.008e-05,7.48e-06,7.53e-06,5.09e-06,4.34e-06,4.37e-06,2.31e-06,2.15e-06,2.17e-06,1.87e-06,1.78e-06,1.81e-06,0.00639923,0.00573799,0.005742,-0.00066124,-0.00065723
0.0221,0.00383327,0.00369361,0.00369659,0.00143401,0.00132551,0.0013255,0.00082382,0.000515,0.00051549,0.00023309,0.00014765,0.00014793,3.583e-05,2.565e-05,2.574e-05,1.951e-05,1.425e-05,1.431e-05,1.013e-05,7.52e-06,7.56e-06,5.12e-06,4.36e-06,4.39e-06,2.32e-06,2.16e-06,2.18e-06,1.88e-06,1.8e-06,1.82e-06,0.00639898,0.00573751,0.00574151,-0.00066147,-0.00065747
0.031,0.00382916,0.00368993,0.00369293,0.00143592,0.00132732,0.0013273,0.00082474,0.00051571,0.0005162,0.00023375,0.00014809,0.00014836,3.594e-05,2.574e-05,2.583e-05,1.959e-05,1.431e-05,1.437e-05,1.018e-05,7.56e-06,7.6e-06,5.15e-06,4.38e-06,4.41e-06,2.33e-06,2.17e-06,2.19e-06,1.9e-06,1.81e-06,1.83e-06,0.00639868,0.00573701,0.00574102,-0.00066167,-0.00065766
0.0435,0.00382468,0.00368596,0.00368898,0.00143796,0.00132925,0.00132926,0.00082574,0.00051648,0.00051696,0.00023446,0.00014856,0.00014882,3.607e-05,2.584e-05,2.592e-05,1.968e-05,1.438e-05,1.444e-05,1.023e-05,7.6e-06,7.64e-06,5.17e-06,4.4e-06,4.44e-06,2.35e-06,2.18e-06,2.2e-06,1.91e-06,1.82e-06,1.85e-06,0.00639826,0.00573647,0.0057405,-0.00066179,-0.00065776
0.0611,0.00381212,0.00367454,0.00367758,0.0014439,0.00133485,0.00133486,0.00082867,0.00051868,0.00051915,0.00023653,0.00014991,0.00015017,3.644e-05,2.612e-05,2.62e-05,1.994e-05,1.457e-05,1.463e-05,1.039e-05,7.71e-06,7.76e-06,5.25e-06,4.47e-06,4.5e-06,2.39e-06,2.22e-06,2.24e-06,1.95e-06,1.86e-06,1.89e-06,0.00639759,0.00573492,0.00573898,-0.00066267,-0.00065861
0.0856,0.00377901,0.00364403,0.0036471,0.0014597,0.00134967,0.00134963,0.00083664,0.00052454,0.00052501,0.00024218,0.00015353,0.0001538,3.746e-05,2.687e-05,2.695e-05,2.065e-05,1.508e-05,1.515e-05,1.083e-05,8.03e-06,8.08e-06,5.48e-06,4.66e-06,4.7e-06,2.5e-06,2.33e-06,2.35e-06,2.07e-06,1.97e-06,1.99e-06,0.00639652,0.00573071,0.00573476,-0.00066581,-0.00066176
0.1201,0.0037314,0.00360007,0.00360318,0.00148188,0.00137046,0.00137037,0.00084838,0.000533,0.00053347,0.00025054,0.00015884,0.00015912,3.899e-05,2.799e-05,2.807e-05,2.173e-05,1.585e-05,1.592e-05,1.15e-05,8.51e-06,8.56e-06,5.83e-06,4.95e-06,4.99e-06,2.68e-06,2.49e-06,2.51e-06,2.25e-06,2.13e-06,2.17e-06,0.00639516,0.00572431,0.00572835,-0.00067085,-0.00066682
0.1685,0.00368125,0.00355384,0.00355696,0.00150435,0.00139156,0.00139154,0.00086103,0.00054195,0.00054241,0.0002596,0.00016453,0.0001648,4.069e-05,2.92e-05,2.928e-05,2.294e-05,1.67e-05,1.676e-05,1.225e-05,9.05e-06,9.09e-06,6.22e-06,5.28e-06,5.32e-06,2.88e-06,2.67e-06,2.7e-06,2.45e-06,2.33e-06,2.36e-06,0.00639366,0.00571712,0.00572122,-0.00067654,-0.00067244
0.2364,0.00362938,0.00350616,0.00350924,0.0015266,0.00141247,0.00141268,0.00087435,0.00055124,0.00055169,0.00026923,0.00017052,0.00017077,4.254e-05,3.051e-05,3.058e-05,2.426e-05,1.761e-05,1.767e-05,1.309e-05,9.63e-06,9.67e-06,6.67e-06,5.65e-06,5.68e-06,3.11e-06,2.88e-06,2.9e-06,2.69e-06,2.56e-06,2.58e-06,0.00639192,0.00570922,0.00571346,-0.0006827,-0.00067846
0.3315,0.00357569,0.003457,0.00345997,0.00154852,0.00143311,0.00143375,0.00088834,0.00056087,0.00056133,0.00027948,0.00017684,0.00017705,4.456e-05,3.19e-05,3.196e-05,2.572e-05,1.86e-05,1.864e-05,1.402e-05,1.026e-05,1.029e-05,7.16e-06,6.05e-06,6.07e-06,3.37e-06,3.12e-06,3.13e-06,2.96e-06,2.81e-06,2.83e-06,0.00638983,0.00570058,0.00570502,-0.00068925,-0.00068481
