hPa,LBL_g1,LBLg_g1,PAR_g1,LBL_g2,LBLg_g2,PAR_g2,LBL_g3,LBLg_g3,PAR_g3,LBL_g4,LBLg_g4,PAR_g4,LBL_g5,LBLg_g5,PAR_g5,LBL_g6,LBLg_g6,PAR_g6,LBL_g7,LBLg_g7,PAR_g7,LBL_g8,LBLg_g8,PAR_g8,LBL_g9,LBLg_g9,PAR_g9,LBL_g10,LBLg_g10,PAR_g10,LBL_tot,LBLg_tot,PAR_tot,LBLg - LBL,PAR - LBL
549.3875,0.00011737,1.116e-05,1.113e-05,0.0193368,0.01905523,0.01905323,0.08404089,0.08539002,0.08530252,0.07283952,0.06372,0.06368175,0.01946256,0.01839214,0.0183957,0.01308711,0.01234251,0.01235198,0.00768967,0.00725586,0.00726471,0.00447133,0.00432932,0.00434458,0.00237974,0.00234455,0.00235671,0.00247584,0.00235296,0.00236978,0.22590082,0.21519374,0.21513209,-0.01070708,-0.01076873
573.1625,3.393e-05,1.28e-06,1.27e-06,0.01423302,0.01201762,0.01202857,0.08716434,0.09204546,0.09196607,0.08574712,0.07559448,0.07555085,0.02366114,0.02228152,0.02228474,0.0160241,0.01505043,0.01506083,0.00945425,0.00888168,0.00889163,0.00551427,0.00532622,0.00534444,0.00294015,0.00289359,0.00290832,0.00306745,0.00291556,0.00293616,0.24783978,0.23700784,0.2369729,-0.01083194,-0.01086688
596.9375,8.45e-06,1e-07,1e-07,0.00992588,0.00664451,0.00666115,0.08648298,0.09498519,0.0949438,0.09785717,0.08715586,0.08711683,0.02801114,0.02629054,0.02629203,0.01912152,0.01788526,0.01789405,0.01133277,0.01059791,0.01060704,0.00663123,0.00638882,0.00640704,0.00354228,0.00348227,0.00349735,0.00370583,0.00352287,0.00354424,0.26661923,0.25695333,0.25696363,-0.0096659,-0.0096556
620.7125,1.84e-06,1e-08,1e-08,0.00665379,0.0032305,0.00324384,0.08253743,0.09406014,0.09407695,0.1085404,0.09790681,0.09788482,0.03237432,0.0302934,0.03029216,0.02229612,0.02076853,0.02077307,0.01327962,0.01236043,0.01236666,0.00779673,0.00749189,0.00750628,0.00417286,0.00409734,0.00410977,0.00437739,0.00416203,0.00418001,0.28203051,0.27437108,0.27443358,-0.00765943,-0.00759693
644.4875,3.6e-07,0.0,0.0,0.00434569,0.00138862,0.00139443,0.07618806,0.08959626,0.08961404,0.11727169,0.10739352,0.10736965,0.0366063,0.03416124,0.03415766,0.0254577,0.02361719,0.02362085,0.01524437,0.01412169,0.01412787,0.00898214,0.00860754,0.00862467,0.00481683,0.0047239,0.00473906,0.00506652,0.00481828,0.00484066,0.29397965,0.28842825,0.28848888,-0.0055514,-0.00549077
668.2625,6e-08,0.0,0.0,0.0027965,0.00053188,0.00053401,0.0683894,0.08231242,0.08230544,0.12370092,0.11526015,0.11521981,0.0405723,0.03777627,0.03777109,0.0285187,0.02635253,0.02635848,0.01717707,0.01583581,0.0158445,0.01015879,0.00970818,0.00973385,0.00545899,0.00534701,0.00536963,0.00575732,0.00547658,0.0055102,0.30253005,0.29860083,0.29864699,-0.00392922,-0.00388306
692.0375,1e-08,0.0,0.0,0.00178712,0.00018335,0.00018429,0.06000341,0.07314879,0.07314274,0.1276792,0.12127586,0.12122947,0.04415764,0.0410405,0.04103442,0.03140072,0.02890589,0.02891324,0.01903193,0.01746183,0.01747213,0.0113,0.01076856,0.01080016,0.00608511,0.00595275,0.00598066,0.00643474,0.00612265,0.00616441,0.30787987,0.30486018,0.30492154,-0.00301969,-0.00295833
715.8125,0.0,0.0,0.0,0.00113911,5.754e-05,5.795e-05,0.05168604,0.063062,0.06307106,0.12921359,0.1253057,0.12526363,0.04726071,0.04386808,0.04386223,0.03402903,0.03121321,0.03122125,0.02076383,0.01896039,0.01897147,0.01237897,0.0117637,0.01179808,0.00668077,0.00652712,0.00655764,0.00708338,0.00674191,0.00678782,0.31023543,0.30749965,0.30759113,-0.00273578,-0.0026443
739.5875,0.0,0.0,0.0,0.0007259,1.665e-05,1.681e-05,0.0438918,0.0529087,0.05293682,0.12848588,0.12734952,0.12732086,0.04981234,0.04620227,0.04619802,0.03634632,0.03322715,0.03323532,0.02233645,0.02030106,0.02031215,0.01337365,0.0126734,0.01270712,0.00723395,0.00705855,0.00708864,0.00769026,0.007322,0.00736748,0.30989654,0.3070593,0.30718322,-0.00283724,-0.00271332
763.3625,0.0,0.0,0.0,0.00046326,4.5e-06,4.56e-06,0.03689372,0.04335292,0.04339712,0.12582913,0.1275487,0.1275404,0.05178788,0.04802577,0.04802456,0.03832244,0.0349254,0.03493331,0.02372859,0.02146762,0.02147806,0.01427049,0.01348581,0.0135153,0.00773711,0.00753988,0.00756638,0.008247,0.00785494,0.00789512,0.3072796,0.30420555,0.30435481,-0.00307405,-0.00292479
