hPa,LBL_g1,LBLg_g1,LBLk_g1,LBL_g2,LBLg_g2,LBLk_g2,LBL_g3,LBLg_g3,LBLk_g3,LBL_g4,LBLg_g4,LBLk_g4,LBL_g5,LBLg_g5,LBLk_g5,LBL_g6,LBLg_g6,LBLk_g6,LBL_g7,LBLg_g7,LBLk_g7,LBL_g8,LBLg_g8,LBLk_g8,LBL_g9,LBLg_g9,LBLk_g9,LBL_g10,LBLg_g10,LBLk_g10,LBL_tot,LBLg_tot,LBLk_tot
3.5428,0.00346028,0.00338442,0.00338465,0.00156564,0.00145507,0.00145399,0.00090238,0.00057816,0.00057821,0.00029084,0.00018722,0.00018739,4.708e-05,3.426e-05,3.432e-05,2.748e-05,2.019e-05,2.024e-05,1.512e-05,1.123e-05,1.127e-05,7.78e-06,6.62e-06,6.66e-06,3.69e-06,3.43e-06,3.45e-06,3.3e-06,3.14e-06,3.17e-06,0.0063236,0.00568373,0.00568337
4.9695,0.00346365,0.00340439,0.00340469,0.00155031,0.0014434,0.00144219,0.00089312,0.00057564,0.00057563,0.00028444,0.00018494,0.00018508,4.59e-05,3.376e-05,3.382e-05,2.658e-05,1.978e-05,1.983e-05,1.452e-05,1.093e-05,1.097e-05,7.47e-06,6.41e-06,6.44e-06,3.53e-06,3.29e-06,3.32e-06,3.13e-06,2.97e-06,3.01e-06,0.00629265,0.00568551,0.00568499
6.9709,0.00344833,0.00341321,0.00341321,0.00153682,0.00143442,0.00143333,0.0008859,0.0005758,0.00057595,0.00027978,0.00018429,0.00018452,4.513e-05,3.363e-05,3.371e-05,2.599e-05,1.963e-05,1.97e-05,1.411e-05,1.079e-05,1.084e-05,7.26e-06,6.29e-06,6.33e-06,3.43e-06,3.21e-06,3.24e-06,3.02e-06,2.87e-06,2.9e-06,0.00624977,0.00568415,0.00568373
9.7781,0.00340936,0.00340775,0.00340782,0.00152578,0.00142902,0.00142786,0.00088107,0.00057942,0.00057948,0.00027716,0.00018567,0.00018585,4.485e-05,3.397e-05,3.404e-05,2.573e-05,1.979e-05,1.985e-05,1.391e-05,1.084e-05,1.089e-05,7.18e-06,6.28e-06,6.31e-06,3.39e-06,3.19e-06,3.22e-06,2.97e-06,2.83e-06,2.86e-06,0.00619139,0.00567875,0.00567819
13.7158,0.00334249,0.0033852,0.00338479,0.00151731,0.00142766,0.00142678,0.00087874,0.00058723,0.0005875,0.00027671,0.00018945,0.00018974,4.508e-05,3.487e-05,3.497e-05,2.582e-05,2.032e-05,2.04e-05,1.392e-05,1.11e-05,1.116e-05,7.21e-06,6.39e-06,6.43e-06,3.42e-06,3.23e-06,3.26e-06,3e-06,2.85e-06,2.89e-06,0.0061137,0.00566829,0.00566792
19.2394,0.00324139,0.00333935,0.00333898,0.00151279,0.001432,0.00143115,0.0008798,0.00060064,0.00060082,0.00027918,0.00019645,0.00019669,4.602e-05,3.653e-05,3.662e-05,2.64e-05,2.134e-05,2.141e-05,1.421e-05,1.165e-05,1.17e-05,7.41e-06,6.66e-06,6.7e-06,3.53e-06,3.36e-06,3.39e-06,3.11e-06,2.96e-06,2.99e-06,0.00601385,0.00565094,0.00565045
26.9872,0.00309784,0.00325867,0.0032577,0.00151603,0.00144582,0.00144536,0.00088655,0.00062215,0.00062256,0.00028636,0.00020822,0.00020859,4.806e-05,3.933e-05,3.946e-05,2.771e-05,2.31e-05,2.319e-05,1.494e-05,1.262e-05,1.269e-05,7.85e-06,7.17e-06,7.22e-06,3.77e-06,3.62e-06,3.65e-06,3.36e-06,3.19e-06,3.23e-06,0.00589248,0.00562391,0.00562363
37.8553,0.00291065,0.00313416,0.00313312,0.00152943,0.00147142,0.00147105,0.0009006,0.00065386,0.00065419,0.00029962,0.0002261,0.00022644,5.151e-05,4.363e-05,4.375e-05,2.998e-05,2.584e-05,2.594e-05,1.624e-05,1.417e-05,1.423e-05,8.61e-06,8e-06,8.05e-06,4.18e-06,4.05e-06,4.08e-06,3.78e-06,3.59e-06,3.63e-06,0.00575461,0.00558483,0.00558447
53.1,0.00268634,0.00296113,0.00295955,0.00155315,0.00150865,0.00150849,0.00092261,0.00069708,0.00069749,0.00031969,0.00025103,0.00025146,5.666e-05,4.976e-05,4.993e-05,3.339e-05,2.978e-05,2.99e-05,1.82e-05,1.639e-05,1.647e-05,9.75e-06,9.22e-06,9.27e-06,4.79e-06,4.68e-06,4.71e-06,4.41e-06,4.19e-06,4.23e-06,0.005609,0.00553191,0.0055315
73.8875,0.00243672,0.00273773,0.0027356,0.00158815,0.00155716,0.00155714,0.00095407,0.00075231,0.00075272,0.00034783,0.00028378,0.00028429,6.387e-05,5.807e-05,5.828e-05,3.817e-05,3.514e-05,3.529e-05,2.096e-05,1.944e-05,1.954e-05,1.135e-05,1.09e-05,1.096e-05,5.65e-06,5.55e-06,5.59e-06,5.29e-06,5.02e-06,5.07e-06,0.00547205,0.0054651,0.00546447
