hPa,LBL_g1,LBLg_g1,LBLk_g1,LBL_g2,LBLg_g2,LBLk_g2,LBL_g3,LBLg_g3,LBLk_g3,LBL_g4,LBLg_g4,LBLk_g4,LBL_g5,LBLg_g5,LBLk_g5,LBL_g6,LBLg_g6,LBLk_g6,LBL_g7,LBLg_g7,LBLk_g7,LBL_g8,LBLg_g8,LBLk_g8,LBL_g9,LBLg_g9,LBLk_g9,LBL_g10,LBLg_g10,LBLk_g10,LBL_tot,LBLg_tot,LBLk_tot
454.2875,0.0,0.0,0.0,0.0006623,4.502e-05,4.557e-05,0.05751432,0.06541028,0.0654464,0.12003482,0.11648694,0.11636401,0.03816228,0.03721999,0.03721658,0.02650131,0.02574303,0.02575463,0.01594204,0.01545459,0.01546781,0.00938131,0.00921311,0.00924065,0.0050179,0.00497398,0.00499679,0.0052251,0.00497048,0.00500331,0.27844136,0.2795174,0.27953575
478.0625,0.0,0.0,0.0,0.0001915,3.2e-06,3.26e-06,0.04570783,0.05004181,0.05013845,0.13301382,0.13290252,0.13278874,0.04669054,0.04550179,0.0454824,0.03310236,0.03207606,0.03207417,0.02014056,0.01945743,0.01946262,0.01193628,0.01169764,0.01172195,0.00641009,0.0063477,0.0063698,0.00670487,0.00638129,0.00641498,0.30389785,0.30440945,0.30445638
501.8375,0.0,0.0,0.0,4.804e-05,1.2e-07,1.3e-07,0.03395074,0.03391867,0.03403863,0.14155989,0.14618411,0.14610508,0.05576523,0.05435466,0.05430501,0.04053771,0.03919687,0.03916432,0.02500181,0.02406992,0.02405487,0.01493865,0.01460803,0.0146166,0.00805857,0.00797191,0.00798476,0.00846911,0.00806548,0.00808948,0.32832974,0.32836977,0.32835888
525.6125,0.0,0.0,0.0,1.068e-05,0.0,0.0,0.02363933,0.02013685,0.02021414,0.14497996,0.15503945,0.15493736,0.06514336,0.06358993,0.06354731,0.04880123,0.04711198,0.04709364,0.03059087,0.02935185,0.02934869,0.01845178,0.01800378,0.01803645,0.01000473,0.00988681,0.00991956,0.01056759,0.01007196,0.01012461,0.35218953,0.35319261,0.35322176
549.3875,0.0,0.0,0.0,2.11e-06,0.0,0.0,0.01544325,0.01030155,0.0103547,0.14275412,0.15793677,0.15785096,0.07428635,0.07274509,0.07270442,0.05768783,0.05564673,0.05563434,0.03686767,0.0352656,0.03526841,0.02248395,0.02189123,0.02194178,0.01226274,0.01210581,0.01215449,0.01302355,0.01242503,0.01250192,0.37481157,0.37831781,0.37841101
573.1625,0.0,0.0,0.0,3.7e-07,0.0,0.0,0.00952516,0.00447254,0.00450504,0.13533097,0.15414237,0.1541084,0.08265367,0.08136143,0.0813191,0.06698141,0.06462886,0.06461334,0.04380071,0.04178748,0.04178913,0.02705703,0.02629136,0.02634997,0.0148571,0.0146528,0.01471039,0.01587348,0.01516246,0.01525488,0.39607988,0.40249932,0.40265025
596.9375,0.0,0.0,0.0,6e-08,0.0,0.0,0.00560222,0.00162141,0.00163736,0.12376871,0.14374036,0.1437794,0.08968759,0.08895507,0.0889097,0.07641856,0.07385366,0.07382605,0.05134335,0.04888667,0.04887921,0.03219401,0.03122822,0.03128133,0.01781678,0.01755653,0.01761266,0.01916191,0.01833083,0.01842506,0.4159932,0.42417275,0.42435076
620.7125,0.0,0.0,0.0,1e-08,0.0,0.0,0.00317448,0.00048174,0.00048774,0.10926114,0.12747383,0.12758609,0.09470092,0.09488283,0.09483559,0.08554238,0.08293963,0.08289218,0.05932673,0.05642471,0.05639989,0.03785192,0.03666458,0.03669481,0.02113869,0.02081485,0.02085535,0.02290275,0.0219488,0.02202518,0.43389903,0.44163096,0.44177683
644.4875,0.0,0.0,0.0,0.0,0.0,0.0,0.00175163,0.00011531,0.00011695,0.09333272,0.10719201,0.10731978,0.09728005,0.09871681,0.09867019,0.09399045,0.09160011,0.09154514,0.06763852,0.06432688,0.06429539,0.04403244,0.04261022,0.04264771,0.0248493,0.02445567,0.02450679,0.02714614,0.02607144,0.02616942,0.45002126,0.45508845,0.45527137
668.2625,0.0,0.0,0.0,0.0,0.0,0.0,0.00094508,2.18e-05,2.215e-05,0.07720508,0.0850579,0.08517827,0.09705175,0.099993,0.09995288,0.10124863,0.09939426,0.09934435,0.07603678,0.07240491,0.07237774,0.05066173,0.04900624,0.04907867,0.02893807,0.02847178,0.02855817,0.03190735,0.03072254,0.0308801,0.46399446,0.46507243,0.46539234
692.0375,0.0,0.0,0.0,0.0,0.0,0.0,0.00049835,3.19e-06,3.25e-06,0.06191472,0.06339106,0.06351069,0.09391668,0.09843638,0.09840965,0.10682077,0.10587482,0.10583012,0.08423543,0.08043616,0.08041123,0.05763652,0.05577043,0.05586672,0.03338202,0.03284531,0.0329581,0.03719276,0.03591965,0.03612548,0.47559725,0.47267701,0.47311525
715.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.00025538,3.5e-07,3.6e-07,0.04805742,0.04402571,0.04413818,0.0877586,0.09366479,0.09365654,0.10985504,0.11019076,0.11015215,0.09155019,0.08781661,0.08779212,0.06456165,0.06254202,0.06264746,0.03798881,0.03739333,0.03751972,0.04282209,0.04150178,0.04173798,0.48284918,0.47713535,0.4776445
739.5875,0.0,0.0,0.0,0.0,0.0,0.0,0.00012769,3e-08,3e-08,0.0364256,0.02855241,0.02864827,0.07964987,0.08652467,0.08653698,0.11070748,0.11263579,0.1126044,0.09815465,0.09475493,0.09472932,0.07161584,0.06951794,0.06961574,0.04290127,0.0422639,0.0423885,0.0489944,0.04767695,0.04792083,0.48857681,0.48192661,0.48244407
763.3625,0.0,0.0,0.0,0.0,0.0,0.0,6.211e-05,0.0,0.0,0.02704702,0.01720351,0.01727632,0.07022952,0.07745952,0.07749155,0.10927583,0.11300543,0.11298288,0.10379863,0.1010467,0.10101901,0.07868564,0.07661448,0.07668591,0.04810103,0.04744784,0.04755218,0.05574163,0.05449646,0.05471881,0.49294141,0.48727395,0.48772667
787.1375,0.0,0.0,0.0,0.0,0.0,0.0,2.932e-05,0.0,0.0,0.01975199,0.00957517,0.00962405,0.06018947,0.06705588,0.06710389,0.105584,0.11117039,0.11115845,0.10822926,0.1064681,0.10643811,0.08563162,0.08372396,0.08374899,0.05355785,0.05292599,0.0529886,0.06309329,0.06201398,0.06217816,0.49606681,0.49293347,0.49324026
810.9125,0.0,0.0,0.0,0.0,0.0,0.0,1.341e-05,0.0,0.0,0.01425306,0.0048932,0.00492091,0.05020027,0.05600144,0.05605086,0.09981004,0.10711727,0.10711452,0.1112184,0.11079603,0.11076971,0.0922934,0.09071889,0.09076488,0.0592292,0.05866922,0.05875933,0.07107539,0.07028534,0.0705129,0.49809317,0.49848141,0.49889312
834.6875,0.0,0.0,0.0,0.0,0.0,0.0,5.94e-06,0.0,0.0,0.0102118,0.00228118,0.00229548,0.04082651,0.04500354,0.04505116,0.09227592,0.10096073,0.10096775,0.11257745,0.11381492,0.11379539,0.09848591,0.09744606,0.097535,0.06505301,0.06463143,0.06477458,0.07970049,0.07935951,0.07970199,0.49913703,0.50349738,0.50412134
858.4625,0.0,0.0,0.0,0.0,0.0,0.0,2.55e-06,0.0,0.0,0.00729509,0.00096362,0.00097046,0.03247052,0.0347043,0.03475017,0.08342191,0.0929495,0.09296707,0.11218018,0.11533211,0.11531962,0.10400554,0.10372787,0.10384129,0.07094543,0.07074651,0.07092596,0.08896248,0.08927381,0.08970942,0.49928371,0.50769772,0.50848399
882.2375,0.0,0.0,0.0,0.0,0.0,0.0,1.06e-06,0.0,0.0,0.00521194,0.00036623,0.0003692,0.02535254,0.02560628,0.02564875,0.07376414,0.08346024,0.08348761,0.10998793,0.11520039,0.11519472,0.10864716,0.10937341,0.10949129,0.07680576,0.07693196,0.07712792,0.09884068,0.10005821,0.10055802,0.4986112,0.51099672,0.51187751
906.0125,0.0,0.0,0.0,0.0,0.0,0.0,4.2e-07,0.0,0.0,0.00372891,0.0001243,0.00012545,0.01952185,0.01801985,0.01805683,0.06382747,0.07295976,0.0729949,0.10604546,0.11331754,0.11331801,0.11220135,0.11416971,0.11427162,0.08250702,0.08307783,0.08326802,0.10928415,0.11171942,0.11224683,0.49711664,0.5133884,0.51428167
929.7875,0.0,0.0,0.0,0.0,0.0,0.0,1.6e-07,0.0,0.0,0.00267403,3.741e-05,3.781e-05,0.01491678,0.01206651,0.01209649,0.05416078,0.06204716,0.06208723,0.10061355,0.10978308,0.10978863,0.11461564,0.11804263,0.1181093,0.08801117,0.08916154,0.08932224,0.12036382,0.12439762,0.12490861,0.49535594,0.51553596,0.51635031
953.5625,0.0,0.0,0.0,0.0,0.0,0.0,6e-08,0.0,0.0,0.00191794,9.89e-06,1.001e-05,0.01135871,0.00765335,0.00767596,0.0450985,0.05118307,0.0512259,0.09382478,0.10454708,0.10455882,0.11564508,0.12069712,0.12071476,0.09310331,0.09497797,0.09508724,0.13191256,0.13799782,0.13844335,0.49286094,0.51706631,0.51771604
977.3375,0.0,0.0,0.0,0.0,0.0,0.0,2e-08,0.0,0.0,0.00137411,2.28e-06,2.31e-06,0.00866198,0.00458223,0.00459786,0.03694101,0.0408781,0.04091999,0.08600347,0.09777216,0.09778863,0.11521157,0.12197874,0.12193722,0.09764521,0.10039116,0.10042921,0.14384693,0.1525153,0.15284361,0.4896843,0.51811997,0.51851882
1001.1125,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0.0,0.0,0.00098273,4.5e-07,4.6e-07,0.00664372,0.00258202,0.00259194,0.02987788,0.03156779,0.0316063,0.07756695,0.08976325,0.08978402,0.11337451,0.12185345,0.12174843,0.10157154,0.10533133,0.10528048,0.15617497,0.16805012,0.16820026,0.48619231,0.5191484,0.5192119
