hPa,LBL_g1,LBLg_g1,LBLk_g1,LBL_g2,LBLg_g2,LBLk_g2,LBL_g3,LBLg_g3,LBLk_g3,LBL_g4,LBLg_g4,LBLk_g4,LBL_g5,LBLg_g5,LBLk_g5,LBL_g6,LBLg_g6,LBLk_g6,LBL_g7,LBLg_g7,LBLk_g7,LBL_g8,LBLg_g8,LBLk_g8,LBL_g9,LBLg_g9,LBLk_g9,LBL_g10,LBLg_g10,LBLk_g10,LBL_tot,LBLg_tot,LBLk_tot
430.5125,0.01094271,0.01133554,0.01134328,0.03514764,0.03683685,0.03676572,0.03319365,0.02943548,0.02937123,0.01849293,0.01596987,0.01595031,0.00441176,0.00424087,0.00424145,0.00288579,0.00277071,0.00277303,0.00166712,0.00160182,0.00160408,0.00095573,0.00093428,0.00093751,0.00050409,0.00049868,0.00050112,0.00051653,0.00049073,0.00049395,0.10871795,0.10411483,0.10398167
454.2875,0.01057312,0.01043299,0.01044285,0.04425475,0.04729489,0.04720548,0.04650309,0.04140629,0.04131506,0.02673338,0.02302935,0.02300006,0.00645641,0.00618607,0.00618646,0.0042397,0.00405784,0.00406092,0.00245572,0.00235241,0.0023555,0.00141142,0.00137761,0.00138238,0.00074574,0.00073727,0.00074092,0.00076659,0.00072831,0.0007332,0.14413991,0.13760303,0.13742284
478.0625,0.00890577,0.00807566,0.00808487,0.05133924,0.05610033,0.05604506,0.06173204,0.05536546,0.05526564,0.03686865,0.03169458,0.03165544,0.00902269,0.00861397,0.00861127,0.0059485,0.00567351,0.00567475,0.0034546,0.00329804,0.00330032,0.00199053,0.00193944,0.0019443,0.00105349,0.00104074,0.00104471,0.00108627,0.00103204,0.00103753,0.18140177,0.17283378,0.17266389
501.8375,0.00656289,0.00520179,0.00520878,0.05507061,0.06149402,0.06152271,0.07799465,0.07073228,0.07065512,0.0487915,0.04188293,0.0418367,0.01211485,0.01152177,0.01151212,0.00802017,0.00762042,0.00761604,0.00467024,0.00444196,0.00444095,0.00269769,0.0026233,0.00262583,0.0014301,0.0014116,0.00141426,0.00147892,0.00140513,0.0014092,0.21883163,0.20833521,0.20824169
525.6125,0.00425678,0.00276547,0.00277163,0.05488081,0.06226423,0.06222464,0.09410347,0.086673,0.08652957,0.06223906,0.05339261,0.05332276,0.01570446,0.0148756,0.01486596,0.01044179,0.00988115,0.00987954,0.00609719,0.00577574,0.00577727,0.00353072,0.00342598,0.00343358,0.0018747,0.00184872,0.00185545,0.00194416,0.00184724,0.00185701,0.25507316,0.24274974,0.24251741
549.3875,0.00245041,0.00120757,0.00121061,0.05110699,0.05819474,0.05815382,0.10868973,0.1021364,0.10194898,0.07676625,0.06588137,0.06578942,0.01972103,0.01860268,0.01859136,0.01317301,0.0124125,0.01241198,0.00771411,0.00727586,0.00727882,0.00447821,0.00433525,0.004347,0.00238151,0.00234613,0.00235639,0.00247648,0.00235314,0.00236802,0.28895773,0.27474564,0.2744564
573.1625,0.0012667,0.00043335,0.00043435,0.04483742,0.05025739,0.05026173,0.1205786,0.11611534,0.11591943,0.09187504,0.07897508,0.07886704,0.0240807,0.02261935,0.02260459,0.01616469,0.01516369,0.01516197,0.00949446,0.00891423,0.00891698,0.00552564,0.00533596,0.00534987,0.00294308,0.00289621,0.00290859,0.00306851,0.00291586,0.00293405,0.31983484,0.30362645,0.30335861
596.9375,0.00059538,0.00012835,0.00012859,0.03736202,0.04014806,0.04020788,0.12882152,0.1276139,0.12745221,0.10693258,0.09219146,0.09207784,0.02866017,0.02680721,0.02678749,0.0193409,0.01805999,0.0180544,0.01139585,0.01064839,0.01064895,0.00664913,0.00640405,0.00641711,0.00354692,0.00348639,0.00349865,0.00370751,0.00352334,0.00354181,0.34701198,0.32901113,0.32881493
620.7125,0.00025801,3.168e-05,3.173e-05,0.02984289,0.02975331,0.02984857,0.13300095,0.13592633,0.13584068,0.12134138,0.10507706,0.10497205,0.03333483,0.0310495,0.03102382,0.02262378,0.02102653,0.02101436,0.01337437,0.01243537,0.01243162,0.00782373,0.00751469,0.00752305,0.00417987,0.00410354,0.00411266,0.00437994,0.00416274,0.0041773,0.37015974,0.35108074,0.35097582
644.4875,0.00010448,6.6e-06,6.62e-06,0.02305728,0.02053424,0.02060813,0.13316542,0.14063473,0.14055519,0.13452859,0.11718814,0.11707283,0.037971,0.03522387,0.03519269,0.02592783,0.02398313,0.02396782,0.01538113,0.01422857,0.01422336,0.00902128,0.00864032,0.00865056,0.00482701,0.00473288,0.00474422,0.00507023,0.00481932,0.00483773,0.38905426,0.36999181,0.36985915
668.2625,4.006e-05,1.18e-06,1.19e-06,0.01738609,0.01326327,0.0133105,0.12977718,0.14166469,0.14154872,0.14601404,0.1281401,0.12799937,0.04244015,0.03921552,0.0391798,0.02916894,0.02685289,0.02683776,0.0173674,0.01598276,0.01597872,0.0102135,0.00975365,0.0097716,0.00547326,0.00535952,0.00537784,0.00576253,0.00547803,0.00550715,0.40364315,0.38571162,0.38551264
692.0375,1.473e-05,1.9e-07,1.9e-07,0.01290232,0.00806544,0.00810136,0.12356708,0.13926163,0.13914843,0.15544912,0.13763522,0.13748137,0.04662834,0.04292536,0.0428861,0.03227044,0.02956759,0.02955193,0.01928815,0.01765726,0.01765358,0.01137396,0.01082955,0.01085266,0.00610445,0.00596962,0.00599279,0.00644182,0.00612462,0.00616135,0.41404041,0.39803648,0.39782974
715.8125,5.25e-06,3e-08,3e-08,0.00949123,0.0046474,0.0046754,0.11533879,0.13388058,0.13380128,0.1625868,0.14543368,0.14527993,0.05042775,0.04626155,0.04622027,0.03515705,0.03206192,0.03204521,0.02109838,0.01921249,0.01920844,0.01247598,0.01184304,0.01186823,0.0067062,0.00654919,0.00657454,0.00709271,0.0067445,0.00678489,0.42038014,0.40663438,0.40645822
739.5875,1.84e-06,0.0,0.0,0.00696241,0.0025557,0.00257613,0.1058895,0.12615189,0.12612669,0.16733951,0.15140646,0.15126564,0.05375684,0.04915723,0.04911582,0.0377687,0.03428575,0.0342677,0.02276127,0.02061733,0.02061228,0.0134974,0.0127738,0.01279768,0.00726646,0.00708662,0.00711116,0.00770222,0.00732532,0.00736481,0.42294616,0.4113601,0.41123789
763.3625,6.4e-07,0.0,0.0,0.00511695,0.00135167,0.00136528,0.09593319,0.11680114,0.11683895,0.16979956,0.15556217,0.15544557,0.05657449,0.05158259,0.05154307,0.04007091,0.036213,0.03619347,0.0242546,0.02185456,0.02184799,0.01442443,0.01360969,0.01362876,0.00777765,0.00757472,0.00759529,0.00826194,0.00785909,0.00789284,0.42221434,0.41240862,0.41235123
787.1375,2.2e-07,0.0,0.0,0.00377763,0.0006925,0.00070079,0.08597529,0.10646329,0.10656333,0.17007163,0.15790449,0.15782127,0.05883329,0.05350136,0.05346573,0.04202231,0.03781166,0.03779067,0.02555117,0.02290291,0.02289441,0.01524008,0.01433575,0.01434656,0.00823034,0.00800457,0.00801805,0.00876151,0.00833592,0.00835905,0.41846348,0.40995244,0.40995986
810.9125,8e-08,0.0,0.0,0.00280657,0.00034627,0.00035055,0.07640789,0.09574263,0.09582942,0.16839954,0.15855681,0.15847799,0.06052766,0.05491413,0.05487831,0.04360904,0.03907446,0.03905438,0.02663962,0.02375554,0.02374795,0.01593648,0.0149457,0.01496117,0.00861998,0.00837201,0.0083898,0.00919559,0.00875073,0.00878097,0.41214245,0.40445828,0.40447053
834.6875,3e-08,0.0,0.0,0.00210022,0.0001702,0.00017236,0.06747865,0.08512363,0.08518579,0.16506635,0.15768201,0.15759971,0.06166932,0.05583537,0.05579858,0.04482806,0.04000315,0.03998501,0.02751442,0.02441069,0.02440505,0.01650887,0.01543624,0.01546035,0.0089436,0.00867444,0.00870001,0.00956047,0.00909992,0.00914265,0.40366999,0.39643565,0.3964495
858.4625,1e-08,0.0,0.0,0.00158176,8.271e-05,8.385e-05,0.05925099,0.07487684,0.07493193,0.16017341,0.15527505,0.15519643,0.06220692,0.05622003,0.05618408,0.04562853,0.04055578,0.04053963,0.02813949,0.02483922,0.02483521,0.01693366,0.01578641,0.01581604,0.00918783,0.00889918,0.00892966,0.00984113,0.00936917,0.0094198,0.39294373,0.38590438,0.38593663
882.2375,0.0,0.0,0.0,0.00120059,4.005e-05,4.066e-05,0.05186556,0.06535929,0.06541778,0.15422188,0.15173016,0.15166116,0.06225193,0.05616846,0.056135,0.04607748,0.04079442,0.04078032,0.02855047,0.02507516,0.02507246,0.01722989,0.01601507,0.01604712,0.00936232,0.00905586,0.00908839,0.01004705,0.00956743,0.00962135,0.38080717,0.3738059,0.37386424
906.0125,0.0,0.0,0.0,0.00091326,1.934e-05,1.967e-05,0.04504137,0.05636818,0.05643478,0.14657335,0.14633198,0.14627768,0.0614615,0.05537073,0.05534146,0.04590493,0.04048323,0.04047129,0.02857426,0.02496965,0.02496794,0.01729083,0.01602429,0.01605558,0.0094084,0.0090881,0.00911966,0.01011448,0.00963393,0.00968627,0.3652824,0.35828943,0.35837434
929.7875,0.0,0.0,0.0,0.00069658,9.39e-06,9.57e-06,0.03882857,0.04808698,0.04816247,0.13750979,0.13926072,0.13922441,0.05984536,0.05383718,0.05381334,0.04509774,0.03961704,0.03960725,0.02819667,0.02451571,0.02451461,0.01710594,0.01580635,0.01583392,0.00931983,0.00899036,0.00901819,0.01003602,0.00956148,0.00960772,0.3466365,0.33968521,0.33979148
953.5625,0.0,0.0,0.0,0.00053969,4.67e-06,4.77e-06,0.03367933,0.0411492,0.04123301,0.12906857,0.13253898,0.13252151,0.05823552,0.05231917,0.05230113,0.04427127,0.03874228,0.03873425,0.02779989,0.02405008,0.0240491,0.01690657,0.01557665,0.01559829,0.00922254,0.00888456,0.00890663,0.00994715,0.00947906,0.0095159,0.32967052,0.32274464,0.32286459
977.3375,0.0,0.0,0.0,0.00042435,2.38e-06,2.43e-06,0.02940141,0.03534277,0.03543328,0.12128825,0.12624124,0.12624225,0.05667459,0.05085647,0.05084415,0.04345969,0.03789043,0.03788357,0.02740669,0.0235934,0.023592,0.01670737,0.01534895,0.01536278,0.00912475,0.00877868,0.00879332,0.00985698,0.00939537,0.00942006,0.31434408,0.30744968,0.30757383
1001.1125,0.0,0.0,0.0,0.0003381,1.24e-06,1.27e-06,0.02582078,0.03046331,0.03055723,0.11410566,0.12033475,0.12035263,0.05516008,0.04944714,0.04944021,0.04266276,0.03706177,0.03705574,0.0270178,0.0231466,0.0231445,0.01650919,0.01512416,0.0151295,0.00902709,0.00867336,0.00867994,0.00976637,0.0093112,0.00932273,0.30040782,0.29356353,0.29368374
