hPa,LBL_g1,LBLk_g1,PAR_g1,LBL_g2,LBLk_g2,PAR_g2,LBL_g3,LBLk_g3,PAR_g3,LBL_g4,LBLk_g4,PAR_g4,LBL_g5,LBLk_g5,PAR_g5,LBL_g6,LBLk_g6,PAR_g6,LBL_tot,LBLk_tot,PAR_tot,LBLk - LBL,PAR - LBL
394.85,0.0,0.0,0.0,0.003694,0.0,0.0,0.178127,0.002085,0.00208461,0.159019,0.080929,0.08092935,4.414389,4.474354,4.4743539,219.484757,219.550966,219.55097,224.23999,224.10833,224.10833,-0.13166,-0.13166
418.625,0.0,0.0,0.0,0.003371,0.0,0.0,0.172429,0.001402,0.00140162,0.136215,0.062955,0.06295468,4.294273,4.353295,4.3532951,219.430847,219.503067,219.50307,224.03714,223.92072,223.92072,-0.11642,-0.11642
442.4,0.0,0.0,0.0,0.003085,0.0,0.0,0.167102,0.000948,0.00094765,0.116492,0.048694,0.04869386,4.174198,4.231065,4.2310653,219.374617,219.452842,219.45284,223.83549,223.73355,223.73355,-0.10194,-0.10194
466.175,0.0,0.0,0.0,0.002829,0.0,0.0,0.162105,0.000644,0.00064406,0.099487,0.037462,0.03746194,4.054592,4.108184,4.1081844,219.31612,219.400366,219.40037,223.63513,223.54666,223.54666,-0.08847,-0.08847
489.95,0.0,0.0,0.0,0.002601,0.0,0.0,0.157407,0.00044,0.00043987,0.084867,0.028675,0.02867521,3.935835,3.985115,3.9851154,219.255408,219.345707,219.34571,223.43612,223.35994,223.35994,-0.07618,-0.07618
513.725,0.0,0.0,0.0,0.002396,0.0,0.0,0.152979,0.000302,0.00030183,0.072333,0.021845,0.02184507,3.818263,3.862266,3.862266,219.192535,219.288925,219.28893,223.23851,223.17334,223.17334,-0.06517,-0.06517
537.5,0.0,0.0,0.0,0.002212,0.0,0.0,0.148796,0.000208,0.00020839,0.061613,0.016583,0.01658297,3.702168,3.739847,3.7398471,219.127558,219.229887,219.22989,223.04235,222.98652,222.98653,-0.05583,-0.05582
561.275,0.0,0.0,0.0,0.002047,0.0,0.0,0.144836,0.000145,0.00014473,0.052466,0.012546,0.01254601,3.587805,3.618212,3.6182119,219.060534,219.168653,219.16865,222.84769,222.79956,222.79956,-0.04813,-0.04813
585.05,0.0,0.0,0.0,0.001897,0.0,0.0,0.141083,0.000101,0.00010108,0.044675,0.009461,0.00946126,3.475389,3.497673,3.4976728,218.991519,219.105283,219.10528,222.65456,222.61252,222.61252,-0.04204,-0.04204
608.825,0.0,0.0,0.0,0.001762,0.0,0.0,0.137519,7.1e-05,7.097e-05,0.038053,0.007113,0.00711298,3.365104,3.378504,3.3785043,218.920573,219.039831,219.03983,222.46301,222.42552,222.42552,-0.03749,-0.03749
