,hPa,LBL_g1,LBLk_g1,PAR_g1,LBL_g2,LBLk_g2,PAR_g2,LBL_g3,LBLk_g3,PAR_g3,LBL_g4,LBLk_g4,PAR_g4,LBL_g5,LBLk_g5,PAR_g5,LBL_g6,LBLk_g6,PAR_g6,LBL_tot,LBLk_tot,PAR_tot,LBLk - LBL,PAR - LBL
54,525.6125,0.0,0.0,0.0,5e-08,0.0,0.0,0.00014524,0.0,0.0,1.327e-05,2e-08,2e-08,0.01187916,0.01291967,0.01291833,0.01914858,0.02054728,0.02054515,0.03118631,0.03346697,0.03346351,0.00228066,0.0022772
55,549.3875,0.0,0.0,0.0,4e-08,0.0,0.0,0.00013392,0.0,0.0,8.02e-06,1e-08,1e-08,0.01098217,0.0116942,0.01169299,0.01947066,0.0212754,0.0212732,0.03059481,0.03296961,0.0329662,0.0023748,0.00237139
56,573.1625,0.0,0.0,0.0,3e-08,0.0,0.0,0.00012376,0.0,0.0,4.85e-06,0.0,0.0,0.01013451,0.01053222,0.01053113,0.0197554,0.02198059,0.02197831,0.03001856,0.03251281,0.03250945,0.00249425,0.00249089
57,596.9375,0.0,0.0,0.0,3e-08,0.0,0.0,0.00011462,0.0,0.0,2.94e-06,0.0,0.0,0.00933653,0.00944166,0.00944069,0.02000414,0.02266437,0.02266202,0.02945826,0.03210604,0.03210271,0.00264778,0.00264445
58,620.7125,0.0,0.0,0.0,2e-08,0.0,0.0,0.00010637,0.0,0.0,1.79e-06,0.0,0.0,0.00858782,0.00842728,0.00842641,0.02021827,0.02332802,0.02332561,0.02891427,0.0317553,0.03175202,0.00284103,0.00283775
59,644.4875,0.0,0.0,0.0,2e-08,0.0,0.0,9.889e-05,0.0,0.0,1.1e-06,0.0,0.0,0.00788743,0.0074938,0.00749303,0.02039918,0.02401084,0.02400836,0.02838662,0.03150464,0.03150139,0.00311802,0.00311477
60,668.2625,0.0,0.0,0.0,1e-08,0.0,0.0,9.208e-05,0.0,0.0,6.9e-07,0.0,0.0,0.00723308,0.00663912,0.00663844,0.02054557,0.02470192,0.02469936,0.02787144,0.03134104,0.0313378,0.0034696,0.00346636
61,692.0375,0.0,0.0,0.0,1e-08,0.0,0.0,8.588e-05,0.0,0.0,4.3e-07,0.0,0.0,0.00662383,0.00585964,0.00585903,0.02066004,0.02537268,0.02537005,0.02737019,0.03123231,0.03122908,0.00386212,0.00385889
62,715.8125,0.0,0.0,0.0,1e-08,0.0,0.0,8.021e-05,0.0,0.0,2.8e-07,0.0,0.0,0.00605854,0.00515312,0.00515259,0.02074611,0.0260241,0.02602141,0.02688514,0.03117722,0.031174,0.00429208,0.00428886
63,739.5875,0.0,0.0,0.0,1e-08,0.0,0.0,7.501e-05,0.0,0.0,1.8e-07,0.0,0.0,0.00553516,0.00451637,0.00451591,0.02080529,0.02665697,0.02665421,0.02641566,0.03117334,0.03117012,0.00475768,0.00475446
64,763.3625,0.0,0.0,0.0,1e-08,0.0,0.0,7.025e-05,0.0,0.0,1.2e-07,0.0,0.0,0.00505156,0.00394547,0.00394507,0.02083893,0.02727175,0.02726893,0.02596087,0.03121723,0.031214,0.00525636,0.00525313
65,787.1375,0.0,0.0,0.0,0.0,0.0,0.0,6.586e-05,0.0,0.0,8e-08,0.0,0.0,0.00460554,0.00343608,0.00343573,0.02084797,0.02786832,0.02786544,0.02551945,0.0313044,0.03130116,0.00578495,0.00578171
66,810.9125,0.0,0.0,0.0,0.0,0.0,0.0,6.18e-05,0.0,0.0,5e-08,0.0,0.0,0.00419482,0.00298378,0.00298347,0.02083249,0.02848507,0.02848212,0.02508917,0.03146884,0.03146559,0.00637967,0.00637642
67,834.6875,0.0,0.0,0.0,0.0,0.0,0.0,5.802e-05,0.0,0.0,4e-08,0.0,0.0,0.00381716,0.00258364,0.00258337,0.02079168,0.02909448,0.02909147,0.0246669,0.03167812,0.03167485,0.00701122,0.00700795
68,858.4625,0.0,0.0,0.0,0.0,0.0,0.0,5.45e-05,0.0,0.0,3e-08,0.0,0.0,0.00347039,0.00223099,0.00223076,0.02072515,0.02967681,0.02967373,0.02425007,0.0319078,0.0319045,0.00765773,0.00765443
69,882.2375,0.0,0.0,0.0,0.0,0.0,0.0,5.12e-05,0.0,0.0,2e-08,0.0,0.0,0.00315262,0.0019214,0.0019212,0.02063475,0.03023259,0.03022946,0.02383859,0.032154,0.03215067,0.00831541,0.00831208
70,906.0125,0.0,0.0,0.0,0.0,0.0,0.0,4.814e-05,0.0,0.0,1e-08,0.0,0.0,0.00286207,0.00165062,0.00165045,0.02052454,0.03076521,0.03076203,0.02343476,0.03241583,0.03241248,0.00898107,0.00897772
71,929.7875,0.0,0.0,0.0,0.0,0.0,0.0,4.531e-05,0.0,0.0,1e-08,0.0,0.0,0.00259698,0.00141459,0.00141444,0.02039877,0.03127854,0.0312753,0.02304107,0.03269313,0.03268974,0.00965206,0.00964867
72,953.5625,0.0,0.0,0.0,0.0,0.0,0.0,4.268e-05,0.0,0.0,1e-08,0.0,0.0,0.00235554,0.00120952,0.0012094,0.02026063,0.03177532,0.03177203,0.02265886,0.03298484,0.03298142,0.01032598,0.01032256
73,977.3375,0.0,0.0,0.0,0.0,0.0,0.0,4.026e-05,0.0,0.0,1e-08,0.0,0.0,0.00213595,0.00103189,0.00103178,0.02011231,0.03225722,0.03225388,0.02228852,0.0332891,0.03328566,0.01100058,0.01099714
74,1001.1125,0.0,0.0,0.0,0.0,0.0,0.0,3.802e-05,0.0,0.0,0.0,0.0,0.0,0.00193647,0.00087845,0.00087836,0.01995544,0.03272755,0.03272416,0.02192993,0.033606,0.03360252,0.01167607,0.01167259
