,hPa,LBLx1,PARx1,PARx1 - LBLx1,LBLx2,PARx2,PARx2 - LBLx2
30,13.7158,0.3044,0.28702,-0.01738,0.35178000000000004,0.34317,-0.00861
31,19.2394,0.25749,0.24916999999999997,-0.008320000000000001,0.29394000000000003,0.30938000000000004,0.01545
32,26.9873,0.21756,0.23117,0.013609999999999999,0.25404,0.25895,0.00491
33,37.8553,0.18953,0.19794,0.008409999999999999,0.22386,0.21104,-0.012819999999999998
34,53.1,0.16751,0.16146,-0.00605,0.19308,0.19214,-0.0009400000000000001
35,73.8875,0.14548,0.14640999999999998,0.00093,0.15857000000000002,0.17729,0.01872
36,97.6625,0.12464000000000001,0.14022,0.015569999999999999,0.12697,0.14912999999999998,0.02217
37,121.4375,0.10711,0.12839,0.02128,0.10325999999999999,0.12082000000000001,0.01756
38,145.2125,0.09245,0.1125,0.020059999999999998,0.08598,0.09985,0.013869999999999999
39,168.9875,0.08177000000000001,0.09819,0.01642,0.07488,0.0882,0.013330000000000002
40,192.7625,0.08678999999999999,0.1026,0.01581,0.08002000000000001,0.09766,0.01764
41,216.5375,0.13385999999999998,0.15685,0.023,0.12572,0.15539,0.02967
42,240.3125,0.19337000000000001,0.22446,0.031089999999999996,0.18367999999999998,0.22404000000000002,0.04036
43,264.0875,0.24773,0.29539,0.04766,0.23711,0.29381,0.05671
44,287.8625,0.28626,0.34349,0.057229999999999996,0.27571,0.33978,0.06407
45,311.6375,0.27057,0.32145999999999997,0.05089,0.26203000000000004,0.31628,0.05425
46,335.4125,0.24828000000000003,0.30217,0.05389,0.24143,0.29558,0.05415
47,359.1875,0.23156,0.28104,0.04948,0.22580999999999998,0.27348,0.04767
48,382.9625,0.2177,0.25349,0.035789999999999995,0.21276,0.24556,0.0328
49,406.7375,0.20605,0.22993000000000002,0.023880000000000002,0.20176,0.22203,0.02027
50,430.5125,0.19652,0.21513000000000002,0.0186,0.19279000000000002,0.20753000000000002,0.014740000000000001
51,454.2875,0.18569000000000002,0.20104,0.015359999999999999,0.18253,0.19408,0.01154
52,478.0625,0.1766,0.18645,0.00985,0.17395,0.18035,0.0064
53,501.8375,0.1702,0.17192000000000002,0.00172,0.16797,0.16684000000000002,-0.0011300000000000001
54,525.6125,0.1656,0.15954000000000002,-0.00606,0.16371,0.15548,-0.00822
55,549.3875,0.16213,0.15032,-0.01181,0.1605,0.14726,-0.01323
56,573.1625,0.15942,0.14497000000000002,-0.01445,0.15799000000000002,0.14284000000000002,-0.01516
57,596.9375,0.16388,0.14848,-0.0154,0.16252,0.14711,-0.01542
58,620.7125,0.16732,0.15216,-0.01516,0.16602999999999998,0.15144000000000002,-0.01459
59,644.4875,0.16851,0.15337,-0.01514,0.16731,0.15322,-0.01408
60,668.2625,0.16794,0.15152000000000002,-0.01642,0.16683,0.15186,-0.014969999999999999
61,692.0375,0.16583,0.14705,-0.01878,0.16484000000000001,0.14782,-0.01701
62,715.8125,0.16259,0.14164000000000002,-0.02095,0.1617,0.14276,-0.01895
63,739.5875,0.15850999999999998,0.13679000000000002,-0.02171,0.15771,0.13817000000000002,-0.01955
64,763.3625,0.15375999999999998,0.13324,-0.02052,0.15305,0.13477999999999998,-0.01826
65,787.1375,0.14854,0.13089,-0.01766,0.1479,0.13253,-0.015359999999999999
66,810.9125,0.14302,0.12925,-0.01377,0.14242,0.13094,-0.011479999999999999
67,834.6875,0.13727999999999999,0.12732000000000002,-0.00997,0.13672,0.12900999999999999,-0.00771
68,858.4625,0.13141,0.12439000000000001,-0.00702,0.13087000000000001,0.12605999999999998,-0.00481
69,882.2375,0.1255,0.1203,-0.0052,0.12498,0.12195999999999999,-0.00303
70,906.0125,0.11968,0.11528,-0.0044,0.11917,0.11690999999999999,-0.0022600000000000003
71,929.7875,0.11402999999999999,0.10974,-0.0043,0.11352999999999999,0.11135,-0.00218
72,953.5625,0.10862000000000001,0.10411,-0.00451,0.10812000000000001,0.10570999999999998,-0.0024100000000000002
73,977.3375,0.10350999999999999,0.09882,-0.00469,0.10300999999999999,0.1004,-0.0026100000000000003
74,1001.1125,0.09859,0.09401,-0.00458,0.09809,0.09556,-0.00253
