hPa,LBL_g1,PAR_g1,LBL_g2,PAR_g2,LBL_g3,PAR_g3,LBL_g4,PAR_g4,LBL_g5,PAR_g5,LBL_g6,PAR_g6,LBL_g7,PAR_g7,LBL_g8,PAR_g8,LBL_g9,PAR_g9,LBL_g10,PAR_g10,LBL_tot,PAR_tot,PAR - LBL
703.925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8e-05,0.0,0.005775,0.0,0.054165,1e-08,12.611236,12.174841,12.67119,12.174841,-0.496349
727.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6e-05,0.0,0.005527,0.0,0.052678,0.0,12.595482,12.104296,12.6537,12.104296,-0.549404
751.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4e-05,0.0,0.005298,0.0,0.051291,0.0,12.580107,12.031247,12.63671,12.031247,-0.605463
775.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3e-05,0.0,0.005085,0.0,0.049994,0.0,12.565087,11.955745,12.62018,11.955745,-0.664435
799.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1e-05,0.0,0.004888,0.0,0.048775,0.0,12.550399,11.877859,12.60407,11.877859,-0.726211
822.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.004704,0.0,0.047629,0.0,12.536027,11.797597,12.58837,11.797597,-0.790773
846.575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9e-06,0.0,0.004533,0.0,0.046549,0.0,12.521959,11.715052,12.57305,11.715052,-0.857998
870.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9e-06,0.0,0.004373,0.0,0.045531,0.0,12.508192,11.630383,12.5581,11.630383,-0.927717
894.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8e-06,0.0,0.004225,0.0,0.044569,0.0,12.49472,11.543753,12.54352,11.543753,-0.999767
917.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7e-06,0.0,0.004087,0.0,0.04366,0.0,12.481535,11.455302,12.52929,11.455302,-1.073988
941.675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6e-06,0.0,0.003958,0.0,0.0428,0.0,12.468624,11.365141,12.51539,11.365141,-1.150249
965.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6e-06,0.0,0.003837,0.0,0.041983,0.0,12.455971,11.273359,12.5018,11.273359,-1.228441
989.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5e-06,0.0,0.003724,0.0,0.041208,0.0,12.443562,11.180036,12.4885,11.180036,-1.308464
1013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5e-06,0.0,0.003618,0.0,0.04047,0.0,12.431382,11.085242,12.47548,11.085242,-1.390238
