hPa,LBL_g1,LBLk_g1,PAR_g1,LBL_g2,LBLk_g2,PAR_g2,LBL_g3,LBLk_g3,PAR_g3,LBL_g4,LBLk_g4,PAR_g4,LBL_g5,LBLk_g5,PAR_g5,LBL_g6,LBLk_g6,PAR_g6,LBL_tot,LBLk_tot,PAR_tot,LBLk - LBL,PAR - LBL
22.464,7.8e-05,0.0,1e-07,0.06869,0.055496,0.05549612,0.607143,0.611419,0.61141911,1.021106,1.021141,1.0211408,5.787054,5.787992,5.7879927,219.996306,219.998177,219.99818,227.48038,227.47422,227.47423,-0.00616,-0.00615
31.5105,1.2e-05,0.0,0.0,0.050333,0.033346,0.03334637,0.570384,0.575141,0.57514163,1.009891,1.009988,1.0099886,5.778663,5.780159,5.7801595,219.990822,219.99343,219.99343,227.4001,227.39207,227.39207,-0.00803,-0.00803
44.2001,1e-06,0.0,0.0,0.03493,0.015637,0.01563658,0.51801,0.519731,0.5197318,0.988474,0.988685,0.98868473,5.763335,5.765902,5.7659025,219.982627,219.986334,219.98633,227.28738,227.27629,227.27629,-0.01109,-0.01109
62.0,0.0,0.0,0.0,0.024041,0.005135,0.00513537,0.451004,0.438419,0.43841901,0.948661,0.94873,0.94873037,5.735275,5.739869,5.7398697,219.970054,219.975435,219.97543,227.12903,227.10759,227.10759,-0.02144,-0.02144
85.775,0.0,0.0,0.0,0.017154,0.001124,0.00112372,0.380473,0.334178,0.33417866,0.881916,0.880333,0.88033331,5.686941,5.695095,5.6950957,219.951224,219.959098,219.9591,226.91771,226.86983,226.86983,-0.04788,-0.04788
109.55,0.0,0.0,0.0,0.013423,0.00025,0.00024965,0.330162,0.244489,0.24448941,0.805801,0.799972,0.79997212,5.627506,5.640135,5.6401356,219.929994,219.940697,219.9407,226.70689,226.62554,226.62554,-0.08135,-0.08135
133.325,0.0,0.0,0.0,0.011045,5.8e-05,5.829e-05,0.294859,0.173276,0.17327617,0.726224,0.712838,0.71283831,5.558233,5.575958,5.5759588,219.906346,219.9202,219.9202,226.49671,226.38233,226.38233,-0.11438,-0.11438
157.1,0.0,0.0,0.0,0.009392,1.5e-05,1.454e-05,0.269799,0.119927,0.11992665,0.647581,0.623662,0.62366173,5.4803,5.50351,5.5035103,219.880332,219.897651,219.89765,226.2874,226.14476,226.14476,-0.14264,-0.14264
180.875,0.0,0.0,0.0,0.008166,4e-06,3.88e-06,0.251374,0.081559,0.0815589,0.572812,0.536619,0.53661878,5.394727,5.423687,5.4236874,219.851955,219.873049,219.87305,226.07904,225.91492,225.91492,-0.16412,-0.16412
204.65,0.0,0.0,0.0,0.007198,1e-06,1.11e-06,0.237026,0.054781,0.05478063,0.503647,0.45488,0.45488001,5.30232,5.337119,5.3371196,219.821074,219.846301,219.8463,225.87126,225.69308,225.69308,-0.17818,-0.17818
228.425,0.0,0.0,0.0,0.006394,0.0,3.4e-07,0.22518,0.036537,0.03653657,0.440779,0.380427,0.38042687,5.203819,5.244108,5.2441085,219.78754,219.81713,219.81713,225.66371,225.4782,225.4782,-0.18551,-0.18551
252.2,0.0,0.0,0.0,0.005714,0.0,1.1e-07,0.215019,0.024248,0.02424808,0.384276,0.314314,0.31431362,5.1001,5.145501,5.1455009,219.751361,219.785598,219.7856,225.45647,225.26966,225.26966,-0.18681,-0.18681
275.975,0.0,0.0,0.0,0.005132,0.0,4e-08,0.206071,0.016062,0.01606193,0.333892,0.256819,0.25681882,4.991996,5.041901,5.0419014,219.712576,219.75169,219.75169,225.24967,225.06647,225.06647,-0.1832,-0.1832
299.75,0.0,0.0,0.0,0.004628,0.0,1e-08,0.198046,0.010642,0.01064247,0.289239,0.207701,0.20770146,4.880279,4.933924,4.9339244,219.67122,219.715409,219.71541,225.04341,224.86768,224.86768,-0.17573,-0.17573
323.525,0.0,0.0,0.0,0.004189,0.0,1e-08,0.190756,0.007053,0.00705281,0.249867,0.166414,0.16641414,4.765676,4.822416,4.8224159,219.627332,219.676891,219.67689,224.83782,224.67277,224.67277,-0.16505,-0.16505
347.3,0.0,0.0,0.0,0.003805,0.0,0.0,0.184072,0.004689,0.0046889,0.215309,0.132209,0.13220894,4.648864,4.707687,4.7076875,219.580953,219.636025,219.63603,224.633,224.48061,224.48061,-0.15239,-0.15239
371.075,0.0,0.0,0.0,0.003467,0.0,0.0,0.177902,0.003129,0.00312865,0.185102,0.104217,0.10421728,4.530473,4.590364,4.5903644,219.532126,219.592858,219.59286,224.42907,224.29057,224.29057,-0.1385,-0.1385
