hPa,LBL_g1,LBLg_g1,PAR_g1,LBL_g2,LBLg_g2,PAR_g2,LBL_g3,LBLg_g3,PAR_g3,LBL_g4,LBLg_g4,PAR_g4,LBL_g5,LBLg_g5,PAR_g5,LBL_g6,LBLg_g6,PAR_g6,LBL_g7,LBLg_g7,PAR_g7,LBL_g8,LBLg_g8,PAR_g8,LBL_g9,LBLg_g9,PAR_g9,LBL_g10,LBLg_g10,PAR_g10
632.6,0.0,0.0,0.0,0.001811,4e-06,3.66e-06,1.09863,0.798134,0.7995178,12.873408,13.34468,13.346499,13.739443,13.8301,13.829388,19.602449,19.674104,19.673078,24.310117,24.356641,24.355745,29.307589,29.323901,29.322331,32.109245,32.113483,32.112193,287.665017,287.680935,287.67906
656.375,0.0,0.0,0.0,0.000791,0.0,3e-07,0.827992,0.51235,0.51329927,11.756744,12.191582,12.193359,13.272564,13.384577,13.383856,19.254344,19.346442,19.345354,24.09157,24.152618,24.151638,29.17482,29.196423,29.194609,32.036866,32.042489,32.040978,287.58768,287.607256,287.60504
680.15,0.0,0.0,0.0,0.000332,0.0,2e-08,0.614513,0.308565,0.30924607,10.62257,10.984353,10.986308,12.750355,12.885276,12.88457,18.855706,18.971928,18.970751,23.838045,23.916908,23.915809,29.019617,29.047811,29.045622,31.951909,31.959265,31.957414,287.496534,287.520364,287.51762
703.925,0.0,0.0,0.0,0.000134,0.0,0.0,0.450395,0.173409,0.17388204,9.495492,9.747249,9.7494398,12.17455,12.332783,12.332105,18.404218,18.548216,18.546929,23.546676,23.647003,23.645757,28.839723,28.875993,28.873325,31.852988,31.862479,31.860192,287.389952,287.418678,287.41525
727.7,0.0,0.0,0.0,5.2e-05,0.0,0.0,0.327316,0.090692,0.09099214,8.403147,8.512392,8.5147253,11.551392,11.731705,11.731046,17.900604,18.075628,18.074215,23.216269,23.34189,23.340474,28.633799,28.679764,28.67655,31.739189,31.751257,31.748472,287.266786,287.301061,287.29685
751.475,0.0,0.0,0.0,1.9e-05,0.0,0.0,0.236265,0.043881,0.04404945,7.363502,7.305653,7.3079402,10.885777,11.085089,11.084422,17.344134,17.552914,17.551362,22.844383,22.999323,22.997723,28.399601,28.457037,28.453258,31.609052,31.624189,31.620885,287.125266,287.165772,287.16073
775.25,0.0,0.0,0.0,7e-06,0.0,0.0,0.169542,0.01952,0.01960032,6.390877,6.152244,6.1542355,10.184194,10.397306,10.396579,16.734968,16.979412,16.977709,22.428765,22.617146,22.615353,28.134819,28.205646,28.201342,31.461026,31.479771,31.475981,286.963467,287.010909,287.00509
799.025,0.0,0.0,0.0,2e-06,0.0,0.0,0.120956,0.00793,0.00796233,5.495792,5.075358,5.0768107,9.454767,9.674196,9.6733365,16.07438,16.355246,16.353377,21.967476,22.193379,22.19139,27.837127,27.923381,27.918662,31.29347,31.316408,31.312231,286.779304,286.834391,286.82793
822.8,0.0,0.0,0.0,1e-06,0.0,0.0,0.085739,0.002923,0.00293461,4.68492,4.094607,4.0956416,8.707047,8.923048,8.9220951,15.364899,15.681441,15.679408,21.458994,21.72629,21.724086,27.504213,27.608013,27.602761,31.104663,31.132418,31.127736,286.570518,286.633953,286.62664
846.575,0.0,0.0,0.0,0.0,0.0,0.0,0.060326,0.00097,0.00097458,3.961308,3.224687,3.225471,7.951705,8.152508,8.1515236,14.610436,14.960056,14.95786,20.90236,21.214491,21.212038,27.133859,27.257352,27.251352,30.892836,30.926057,30.920661,286.334706,286.407154,286.39863
870.35,0.0,0.0,0.0,0.0,0.0,0.0,0.042088,0.000288,0.00028947,3.324777,2.474433,2.4750473,7.200075,7.372393,7.3714134,13.816358,14.194301,14.19194,20.297331,20.657049,20.654317,26.724037,26.869313,26.862399,30.656208,30.695556,30.689276,286.069343,286.151404,286.14138
894.125,0.0,0.0,0.0,0.0,0.0,0.0,0.029088,7.6e-05,7.631e-05,2.772404,1.846401,1.8468704,6.463603,6.593401,6.5924287,12.989459,13.388594,13.386058,19.644506,20.053572,20.050533,26.272989,26.44198,26.43404,30.393025,30.439143,30.431859,285.771812,285.86398,285.85222
917.9,0.0,0.0,0.0,0.0,0.0,0.0,0.019903,1.8e-05,1.772e-05,2.299161,1.337148,1.3374797,5.753343,5.826837,5.8258583,12.137985,12.548716,12.545994,18.945531,19.404406,19.401035,25.779382,25.973737,25.964727,30.101634,30.155115,30.146773,285.439468,285.542076,285.52846
941.675,0.0,0.0,0.0,0.0,0.0,0.0,0.013469,4e-06,3.59e-06,1.898041,0.93756,0.93776136,5.078594,5.083307,5.0822986,11.270451,11.68079,11.677877,18.202343,18.709919,18.706204,25.241784,25.462751,25.45271,29.780159,29.841512,29.832133,285.069241,285.182415,285.16695
965.45,0.0,0.0,0.0,0.0,0.0,0.0,0.009014,1e-06,6.3e-07,1.561592,0.635125,0.63520425,4.44783,4.373786,4.3727005,10.397103,10.792928,10.789797,17.418651,17.97191,17.967828,24.659753,24.907997,24.897035,29.427131,29.496727,29.48641,284.658332,284.781907,284.76472
989.225,0.0,0.0,0.0,0.0,0.0,0.0,0.005964,0.0,9e-08,1.281864,0.414786,0.41476944,3.867488,3.708239,3.707042,9.528678,9.894232,9.890866,16.599279,17.19305,17.18859,24.033462,24.308894,24.297208,29.041269,29.119286,29.108216,284.203945,284.33738,284.31875
1013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039,0.0,1e-08,1.050777,0.260505,0.26042283,3.341391,3.094709,3.0933694,8.675385,8.993956,8.9903287,15.749537,16.376354,16.371502,23.36331,23.664932,23.652793,28.621235,28.707599,28.696051,283.702973,283.845259,283.82566
