hPa,LBL,LBLg,PAR,LBLg - LBL,PAR - LBL
62.0,442.38295999999997,442.38545999999997,442.38543,0.0024999999999977263,0.0024700000000166256
85.775,442.36934,442.37229,442.37224000000003,0.002949999999998454,0.002900000000011005
109.55,442.35587000000004,442.35915,442.3591,0.003279999999961092,0.003229999999973643
133.325,442.34247,442.34603,442.34597,0.0035599999999931242,0.003500000000030923
157.1,442.32860999999997,442.33243,442.33235999999994,0.0038200000000188084,0.0037499999999681677
180.875,442.31274,442.31685,442.31677,0.00410999999996875,0.0040300000000002
204.65,442.28851,442.29304,442.29295,0.00453000000004522,0.0044400000000450746
228.425,442.23195,442.23739000000006,442.23728,0.005440000000078271,0.005330000000014934
252.2,442.11864,442.12568,442.12554000000006,0.007039999999960855,0.006900000000030104
275.975,441.91891,441.92863,441.92849,0.009720000000015716,0.009580000000028122
299.75,441.60254000000003,441.61759000000006,441.6175,0.01505000000003065,0.014959999999973661
323.525,441.14280999999994,441.16895999999997,441.16882999999996,0.02615000000002965,0.026020000000016807
347.3,440.51745999999997,440.56260999999995,440.56262999999996,0.04514999999997826,0.04516999999998461
371.075,439.71772000000004,439.78801,439.78827,0.07028999999994312,0.0705499999999688
394.85,438.7849,438.88401,438.88429,0.09910999999999603,0.09939000000002807
418.625,437.70851,437.84372,437.84399,0.13521000000002914,0.13548000000002958
442.4,436.47975,436.66177999999996,436.66225999999995,0.18202999999994063,0.18250999999992246
466.175,435.09155999999996,435.32864000000006,435.32919000000004,0.23708000000010543,0.23763000000008105
489.95,433.53822,433.83002,433.83034000000004,0.29179999999996653,0.29212000000001126
513.725,431.81830999999994,432.15479000000005,432.15457999999995,0.33648000000010825,0.33627000000001317
537.5,429.92879000000005,430.29492999999997,430.29445,0.3661399999999162,0.36565999999993437
561.275,427.8707,428.25316,428.2523,0.3824599999999805,0.3815999999999917
585.05,425.646,426.03784,426.03627,0.39184000000000196,0.3902699999999868
608.825,423.25655,423.65772999999996,423.65500999999995,0.4011799999999539,0.3984599999999432
632.6,420.70770999999996,421.12198,421.11782,0.41427000000004455,0.4101100000000315
656.375,418.00337,418.43374,418.42812999999995,0.43036999999998216,0.4247599999999352
680.15,415.14957999999996,415.59447,415.58734,0.44489000000004353,0.4377600000000257
703.925,412.15413,412.60581,412.59688,0.4516800000000103,0.44274999999998954
727.7,409.03855,409.48439,409.47332,0.44584000000003243,0.43477000000001453
751.475,405.808,406.23386,406.22038,0.4258600000000001,0.41237999999998465
775.25,402.46767,402.86195,402.84589,0.39427999999998065,0.3782199999999989
799.025,399.02327,399.38029,399.3617,0.35701999999997724,0.3384299999999598
822.8,395.48098999999996,395.80269,395.7813,0.3217000000000212,0.3003100000000245
846.575,391.84754,392.14328,392.11852000000005,0.29574000000002343,0.2709800000000655
870.35,388.13022,388.41474,388.38606,0.28451999999998634,0.25583999999997786
894.125,384.33689,384.62715,384.59409,0.2902599999999893,0.25720000000001164
917.9,380.47641,380.78805,380.75035,0.31164000000001124,0.2739400000000387
941.675,376.55408,376.89826,376.85593,0.3441799999999944,0.30185000000000173
965.45,372.57941,372.96038,372.91369,0.3809699999999907,0.33427999999997837
989.225,368.56195,368.97587000000004,368.92545,0.4139200000000187,0.3634999999999877
1013.0,364.50851,364.94331,364.89013,0.43479999999999563,0.38161999999999807
