hPa,LBL_g1,LBLg_g1,PAR_g1,LBL_g2,LBLg_g2,PAR_g2,LBL_g3,LBLg_g3,PAR_g3,LBL_g4,LBLg_g4,PAR_g4,LBL_g5,LBLg_g5,PAR_g5,LBL_g6,LBLg_g6,PAR_g6,LBL_tot,LBLg_tot,PAR_tot,LBLg - LBL,PAR - LBL
62.0,4.5e-05,0.0,1e-08,0.053549,0.030854,0.0308594,0.549496,0.551217,0.55088231,0.988993,0.989754,0.98955377,5.767929,5.770366,5.7702218,219.991328,219.994037,219.99395,227.35134,227.33623,227.33547,-0.01511,-0.01587
85.775,1.3e-05,0.0,0.0,0.041734,0.01441,0.01443503,0.493187,0.481333,0.48091337,0.952344,0.9535,0.95313991,5.74339,5.74796,5.7477043,219.981889,219.985965,219.98582,227.21256,227.18317,227.18201,-0.02939,-0.03055
109.55,5e-06,0.0,0.0,0.034974,0.00678,0.00679851,0.446191,0.411752,0.4113289,0.908106,0.909063,0.90862622,5.712884,5.720186,5.719845,219.97116,219.976787,219.97658,227.07332,227.02457,227.02318,-0.04875,-0.05014
133.325,2e-06,0.0,0.0,0.030542,0.003268,0.00328217,0.408693,0.346648,0.34628395,0.858604,0.858302,0.85777696,5.676999,5.687566,5.6871254,219.959192,219.966547,219.96627,226.93403,226.86233,226.86074,-0.0717,-0.07329
157.1,1e-06,0.0,0.0,0.027359,0.001627,0.00163761,0.379316,0.288314,0.28809029,0.80599,0.803045,0.80239404,5.636239,5.650536,5.649965,219.946027,219.955278,219.95493,226.79493,226.6988,226.69702,-0.09613,-0.09791
180.875,1e-06,0.0,0.0,0.024933,0.000839,0.0008457,0.35638,0.237653,0.23756587,0.752109,0.745024,0.74430946,5.591032,5.609467,5.6087843,219.931692,219.943,219.94259,226.65615,226.53598,226.5341,-0.12017,-0.12205
204.65,0.0,0.0,0.0,0.023006,0.000448,0.0004522,0.338357,0.194644,0.19462609,0.69843,0.685794,0.68507149,5.541767,5.564684,5.5639261,219.916211,219.929732,219.92928,226.51777,226.3753,226.37336,-0.14247,-0.14441
228.425,0.0,0.0,0.0,0.021428,0.000248,0.00025023,0.323995,0.158732,0.15881819,0.646046,0.626703,0.62596364,5.488801,5.516485,5.5155827,219.899609,219.915491,219.91496,226.37988,226.21766,226.21558,-0.16222,-0.1643
252.2,0.0,0.0,0.0,0.020104,0.000141,0.00014297,0.312331,0.129103,0.12922874,0.595719,0.568866,0.56814066,5.432467,5.465142,5.4641135,219.881908,219.900293,219.89968,226.24253,226.06355,226.0613,-0.17898,-0.18123
275.975,0.0,0.0,0.0,0.018971,8.3e-05,8.415e-05,0.302646,0.104867,0.10502549,0.547942,0.513172,0.51249629,5.373083,5.410906,5.4097393,219.863133,219.884153,219.88343,226.10578,225.91318,225.91077,-0.1926,-0.19501
