hPa,LBL_g1,LBLg_g1,PAR_g1,LBL_g2,LBLg_g2,PAR_g2,LBL_g3,LBLg_g3,PAR_g3,LBL_g4,LBLg_g4,PAR_g4,LBL_g5,LBLg_g5,PAR_g5,LBL_g6,LBLg_g6,PAR_g6,LBL_tot,LBLg_tot,PAR_tot,LBLg - LBL,PAR - LBL
371.075,0.0,0.0,0.0,0.014893,1.2e-05,1.209e-05,0.271058,0.045864,0.04605704,0.387841,0.326895,0.32654622,5.105664,5.162395,5.1609353,219.7704,219.804194,219.80303,225.54986,225.33936,225.33658,-0.2105,-0.21328
394.85,0.0,0.0,0.0,0.014093,8e-06,7.88e-06,0.26474,0.037504,0.03768399,0.354663,0.289193,0.28892483,5.033627,5.094776,5.0932923,219.744119,219.781443,219.78016,225.41124,225.20292,225.20007,-0.20832,-0.21117
418.625,0.0,0.0,0.0,0.01336,5e-06,5.23e-06,0.25886,0.030738,0.03089636,0.324061,0.255011,0.25480781,4.96004,5.025362,5.0238755,219.716577,219.757558,219.75617,225.2729,225.06867,225.06576,-0.20423,-0.20714
442.4,0.0,0.0,0.0,0.012687,3e-06,3.52e-06,0.253352,0.025255,0.02540174,0.295898,0.224204,0.22407941,4.885139,4.954349,4.9528015,219.687792,219.732544,219.73102,225.13487,224.93636,224.9333,-0.19851,-0.20157
466.175,0.0,0.0,0.0,0.012065,2e-06,2.41e-06,0.248164,0.020804,0.02093876,0.270033,0.196588,0.19652845,4.809147,4.881923,4.8803069,219.657781,219.706411,219.70473,224.99719,224.80573,224.8025,-0.19146,-0.19469
489.95,0.0,0.0,0.0,0.011491,2e-06,1.67e-06,0.243257,0.017183,0.01730229,0.246317,0.171951,0.17192869,4.732274,4.808262,4.8066069,219.626563,219.679165,219.67734,224.8599,224.67656,224.67318,-0.18334,-0.18672
513.725,0.0,0.0,0.0,0.010958,1e-06,1.17e-06,0.2386,0.014231,0.01433088,0.224608,0.150067,0.15004994,4.654717,4.733538,4.7318953,219.594156,219.650816,219.64889,224.72304,224.54865,224.54517,-0.17439,-0.17787
537.5,0.0,0.0,0.0,0.010464,1e-06,8.3e-07,0.234167,0.011819,0.01190649,0.204762,0.130704,0.1307236,4.576661,4.65791,4.6562545,219.560579,219.621371,219.6193,224.58663,224.42181,224.41819,-0.16482,-0.16844
561.275,0.0,0.0,0.0,0.010003,1e-06,6e-07,0.229936,0.009844,0.00992137,0.186644,0.113631,0.11369435,4.49828,4.581532,4.5798623,219.525853,219.590839,219.58861,224.45072,224.29585,224.29209,-0.15487,-0.15863
585.05,0.0,0.0,0.0,0.009574,0.0,4.4e-07,0.22589,0.008221,0.00829042,0.170121,0.098626,0.09872414,4.419734,4.50455,4.5028818,219.489998,219.559229,219.55684,224.31532,224.17063,224.16674,-0.14469,-0.14858
608.825,0.0,0.0,0.0,0.009173,0.0,3.2e-07,0.222013,0.006885,0.00694613,0.15507,0.085476,0.08559278,4.341173,4.427101,4.4254621,219.453033,219.526549,219.52403,224.18046,224.04601,224.04203,-0.13445,-0.13843
632.6,0.0,0.0,0.0,0.008798,0.0,2.4e-07,0.218294,0.005782,0.00583474,0.141375,0.073982,0.07409825,4.262748,4.349326,4.3477414,219.414988,219.492814,219.49019,224.0462,223.9219,223.91786,-0.1243,-0.12834
656.375,0.0,0.0,0.0,0.008446,0.0,1.8e-07,0.21472,0.004869,0.00491445,0.128925,0.06396,0.06407609,4.184595,4.271354,4.269819,219.37589,219.458039,219.4553,223.91258,223.79822,223.79411,-0.11436,-0.11847
680.15,0.0,0.0,0.0,0.008117,0.0,1.3e-07,0.211283,0.004111,0.00415084,0.117615,0.055239,0.05536274,4.106829,4.193301,4.1917978,219.335764,219.422237,219.41934,223.77961,223.67489,223.67066,-0.10472,-0.10895
703.925,0.0,0.0,0.0,0.007808,0.0,1e-07,0.207975,0.00348,0.00351528,0.107347,0.047663,0.0477946,4.029562,4.115274,4.1137951,219.294648,219.385429,219.38237,223.64734,223.55185,223.54747,-0.09549,-0.09987
727.7,0.0,0.0,0.0,0.007517,0.0,8e-08,0.20479,0.002954,0.00298472,0.09803,0.041092,0.04122692,3.952895,4.037378,4.0359207,219.252585,219.347646,219.34441,223.51582,223.42907,223.42455,-0.08675,-0.09127
751.475,0.0,0.0,0.0,0.007245,0.0,6e-08,0.201725,0.002514,0.00254054,0.08958,0.035399,0.03553232,3.876922,3.959712,3.9582762,219.209626,219.308921,219.30552,223.3851,223.30655,223.30187,-0.07855,-0.08323
775.25,0.0,0.0,0.0,0.006989,0.0,5e-08,0.198772,0.002144,0.00216766,0.081919,0.030475,0.03059925,3.801724,3.882361,3.8809507,219.165808,219.269278,219.26574,223.25521,223.18426,223.17946,-0.07095,-0.07575
799.025,0.0,0.0,0.0,0.006747,0.0,4e-08,0.195925,0.001834,0.00185381,0.074975,0.02622,0.02633016,3.727369,3.805402,3.8040224,219.121155,219.228728,219.22508,223.12617,223.06218,223.05728,-0.06399,-0.06889
822.8,0.0,0.0,0.0,0.00652,0.0,3e-08,0.193176,0.001572,0.00158915,0.068684,0.022548,0.02264799,3.653912,3.728904,3.7275563,219.075677,219.18727,219.18349,222.99797,222.94029,222.93529,-0.05768,-0.06268
846.575,0.0,0.0,0.0,0.006305,0.0,2e-08,0.190517,0.00135,0.00136546,0.062985,0.019383,0.01947686,3.581403,3.652928,3.6516142,219.029379,219.1449,219.14097,222.87059,222.81856,222.81343,-0.05203,-0.05716
870.35,0.0,0.0,0.0,0.006102,0.0,2e-08,0.187944,0.001163,0.00117592,0.057823,0.016657,0.01674665,3.509885,3.577533,3.5762565,218.982273,219.101615,219.09753,222.74403,222.69697,222.69171,-0.04706,-0.05232
894.125,0.0,0.0,0.0,0.00591,0.0,1e-08,0.18545,0.001003,0.00101493,0.053147,0.014311,0.0143966,3.439397,3.502774,3.5015388,218.934373,219.05742,219.05317,222.61828,222.57551,222.57012,-0.04277,-0.04816
917.9,0.0,0.0,0.0,0.005727,0.0,1e-08,0.183031,0.000868,0.00087786,0.048911,0.012293,0.01237419,3.369974,3.428701,3.4275131,218.885697,219.012319,219.00791,222.49334,222.45418,222.44868,-0.03916,-0.04466
941.675,0.0,0.0,0.0,0.005554,0.0,1e-08,0.180684,0.000752,0.00076088,0.045072,0.010558,0.01063409,3.301646,3.355363,3.3542271,218.836267,218.966322,218.96178,222.36922,222.333,222.32741,-0.03622,-0.04181
965.45,0.0,0.0,0.0,0.005389,0.0,1e-08,0.178405,0.000653,0.00066083,0.041593,0.009068,0.00913716,3.234446,3.282808,3.2817234,218.786108,218.919441,218.91479,222.24594,222.21197,222.20632,-0.03397,-0.03962
989.225,0.0,0.0,0.0,0.005233,0.0,1e-08,0.176191,0.000568,0.00057508,0.038439,0.007788,0.00784966,3.168399,3.211082,3.2100417,218.735247,218.871689,218.86696,222.12351,222.09113,222.08543,-0.03238,-0.03808
1013.0,0.0,0.0,0.0,0.005084,0.0,0.0,0.174039,0.000496,0.00050142,0.035578,0.006689,0.0067426,3.103519,3.140217,3.139216,218.683703,218.823075,218.8183,222.00192,221.97048,221.96476,-0.03144,-0.03716
