,hPa,LBL_g1,LBLg_g1,PAR_g1,LBL_g2,LBLg_g2,PAR_g2,LBL_g3,LBLg_g3,PAR_g3,LBL_g4,LBLg_g4,PAR_g4,LBL_g5,LBLg_g5,PAR_g5,LBL_g6,LBLg_g6,PAR_g6,LBL_tot,LBLg_tot,PAR_tot,LBLg - LBL,PAR - LBL
33,37.8553,5.59e-06,0.0,0.0,0.00525335,0.00632601,0.00631703,0.01720026,0.01841912,0.01844179,0.00720933,0.00714159,0.00716805,0.00499512,0.00462459,0.00464045,0.00260816,0.00224124,0.00224659,0.03727179,0.03875255,0.0388139,0.00148076,0.00154211
34,53.1,6.5e-07,0.0,0.0,0.00272474,0.00270589,0.0027011,0.01576414,0.01945671,0.0194735,0.00949267,0.00949429,0.00953216,0.00659836,0.00608881,0.00611327,0.00291912,0.00251045,0.00252146,0.03749968,0.04025614,0.04034149,0.00275646,0.00284181
35,73.8875,7e-08,0.0,0.0,0.00134522,0.00077683,0.0007763,0.01251514,0.01873978,0.01874675,0.0118439,0.01210749,0.01215567,0.00857576,0.00790141,0.00793965,0.00333082,0.00286591,0.00288728,0.0376109,0.04239142,0.04250565,0.00478052,0.00489475
36,97.6625,1e-08,0.0,0.0,0.00074881,0.00016873,0.0001692,0.00901135,0.01613843,0.01612212,0.0134689,0.01422378,0.01424055,0.01057732,0.00975189,0.00978023,0.00378556,0.00325851,0.00328063,0.03759195,0.04354135,0.04359273,0.0059494,0.00600078
37,121.4375,0.0,0.0,0.0,0.00048055,3.683e-05,3.699e-05,0.00636722,0.01282283,0.01279641,0.01408389,0.01541742,0.01543415,0.01233107,0.01139343,0.01142582,0.00422121,0.00363548,0.00365917,0.03748394,0.04330598,0.04335254,0.00582204,0.0058686
38,145.2125,0.0,0.0,0.0,0.0003345,8.38e-06,8.44e-06,0.00454285,0.00961944,0.00958624,0.01392988,0.01577631,0.01579926,0.01386841,0.01285426,0.01289703,0.00464141,0.00400054,0.00402494,0.03731705,0.04225893,0.0423159,0.00494188,0.00499885
39,168.9875,0.0,0.0,0.0,0.00024669,2.03e-06,2.05e-06,0.00334096,0.00692013,0.00689652,0.01326121,0.01543619,0.01543747,0.01521475,0.01415848,0.0141936,0.00505108,0.00435835,0.00437867,0.0371147,0.04087517,0.04090831,0.00376047,0.00379361
40,192.7625,0.0,0.0,0.0,0.00018995,5.2e-07,5.3e-07,0.00256047,0.00482857,0.00481907,0.01229754,0.01456401,0.01454977,0.01638538,0.01532078,0.01534292,0.00545063,0.00470959,0.00472418,0.03688396,0.03942348,0.03943649,0.00253952,0.00255252
41,216.5375,0.0,0.0,0.0,0.00015119,1.5e-07,1.5e-07,0.00204797,0.00329575,0.00328645,0.01119828,0.01332855,0.0133158,0.01739212,0.0163525,0.01639708,0.00584018,0.00505469,0.00508286,0.03662973,0.03803163,0.03808234,0.0014019,0.00145261
42,240.3125,0.0,0.0,0.0,0.00012351,4e-08,4e-08,0.0017005,0.00221478,0.00221323,0.01006684,0.01188331,0.01186454,0.01824496,0.01726286,0.01729998,0.00621982,0.00539395,0.00542417,0.03635563,0.03675495,0.03680198,0.00039932,0.00044635
