hPa,LBL_g1,LBLg_g1,PAR_g1,LBL_g2,LBLg_g2,PAR_g2,LBL_g3,LBLg_g3,PAR_g3,LBL_g4,LBLg_g4,PAR_g4,LBL_g5,LBLg_g5,PAR_g5,LBL_g6,LBLg_g6,PAR_g6,LBL_tot,LBLg_tot,PAR_tot,LBLg - LBL,PAR - LBL
299.75,0.0,0.0,0.0,0.016392,4.7e-05,4.739e-05,0.287772,0.084997,0.0851884,0.504686,0.463603,0.46299457,5.307489,5.349879,5.3486301,219.838973,219.863371,219.86251,225.95531,225.7619,225.75937,-0.19341,-0.19594
323.525,0.0,0.0,0.0,0.015434,2.9e-05,2.908e-05,0.279756,0.069169,0.06934034,0.463001,0.414947,0.41440216,5.241835,5.289101,5.2878075,219.816702,219.844181,219.84322,225.81673,225.61743,225.6148,-0.1993,-0.20193
347.3,0.0,0.0,0.0,0.014568,1.8e-05,1.824e-05,0.272536,0.056355,0.056531,0.424184,0.369794,0.36934052,5.173827,5.225872,5.2244905,219.793131,219.823841,219.82276,225.67825,225.47588,225.47314,-0.20237,-0.20511
371.075,0.0,0.0,0.0,0.013782,1.2e-05,1.167e-05,0.265946,0.045989,0.04617176,0.388176,0.328251,0.3278952,5.103739,5.160413,5.1589389,219.768275,219.802358,219.80114,225.53992,225.33702,225.33416,-0.2029,-0.20576
394.85,0.0,0.0,0.0,0.013065,8e-06,7.61e-06,0.259867,0.037602,0.03777385,0.354878,0.290318,0.2900452,5.031831,5.092934,5.0914398,219.74215,219.779739,219.77842,225.40179,225.2006,225.19769,-0.20119,-0.2041
418.625,0.0,0.0,0.0,0.012407,5e-06,5.05e-06,0.254214,0.030815,0.03096677,0.32418,0.255928,0.25572494,4.95838,5.023665,5.022174,219.714785,219.756003,219.75458,225.26397,225.06642,225.06345,-0.19755,-0.20052
442.4,0.0,0.0,0.0,0.011802,3e-06,3.41e-06,0.248922,0.025315,0.02545692,0.295942,0.22494,0.22481739,4.883626,4.952805,4.9512575,219.686202,219.731161,219.7296,225.12649,224.93422,224.93114,-0.19227,-0.19535
466.175,0.0,0.0,0.0,0.011244,2e-06,2.33e-06,0.243942,0.02085,0.020982,0.270017,0.197165,0.19710924,4.807794,4.880542,4.8789281,219.656422,219.705224,219.70351,224.98942,224.80378,224.80054,-0.18564,-0.18888
489.95,0.0,0.0,0.0,0.010729,2e-06,1.62e-06,0.239237,0.01722,0.01733613,0.246255,0.172391,0.17237219,4.731094,4.807056,4.805402,219.625468,219.678206,219.67636,224.85278,224.67487,224.67147,-0.17791,-0.18131
513.725,0.0,0.0,0.0,0.010251,1e-06,1.14e-06,0.234775,0.01426,0.01435734,0.224509,0.150388,0.15037441,4.653725,4.732516,4.7308736,219.593364,219.650119,219.64817,224.71662,224.54728,224.54378,-0.16934,-0.17284
537.5,0.0,0.0,0.0,0.009807,1e-06,8.1e-07,0.230531,0.011842,0.01192715,0.204636,0.130925,0.13094641,4.575872,4.657084,4.6554232,219.560133,219.620973,219.61888,224.58098,224.42083,224.41718,-0.16015,-0.1638
561.275,0.0,0.0,0.0,0.009393,1e-06,5.8e-07,0.226486,0.009862,0.00993747,0.186498,0.113768,0.11383136,4.497707,4.580912,4.5792275,219.525796,219.59078,219.58853,224.44588,224.29532,224.29153,-0.15056,-0.15435
585.05,0.0,0.0,0.0,0.009008,0.0,4.2e-07,0.222619,0.008235,0.00830295,0.169962,0.098694,0.09878976,4.41939,4.504143,4.5024483,219.490375,219.55955,219.55715,224.31135,224.17062,224.16669,-0.14073,-0.14466
608.825,0.0,0.0,0.0,0.008648,0.0,3.1e-07,0.218918,0.006896,0.00695588,0.154903,0.085487,0.08559995,4.341069,4.426914,4.4252337,219.453892,219.527293,219.52475,224.17743,224.04659,224.04254,-0.13084,-0.13489
632.6,0.0,0.0,0.0,0.008311,0.0,2.3e-07,0.215368,0.005791,0.00584231,0.141203,0.073946,0.07405853,4.262881,4.349352,4.3477202,219.416368,219.494018,219.49137,224.04413,223.92311,223.91899,-0.12102,-0.12514
656.375,0.0,0.0,0.0,0.007995,0.0,1.7e-07,0.211958,0.004876,0.00492031,0.128749,0.063886,0.06399987,4.184951,4.271576,4.270004,219.377825,219.459736,219.45698,223.91148,223.80007,223.7959,-0.11141,-0.11558
680.15,0.0,0.0,0.0,0.007698,0.0,1.3e-07,0.208678,0.004116,0.00415539,0.117439,0.055136,0.05525931,4.107406,4.19371,4.192184,219.33829,219.424461,219.42156,223.77951,223.67742,223.67316,-0.10209,-0.10635
703.925,0.0,0.0,0.0,0.007419,0.0,1e-07,0.20552,0.003485,0.00351881,0.107175,0.04754,0.04767242,4.030356,4.115864,4.1143728,219.297789,219.388206,219.38514,223.64826,223.55509,223.55071,-0.09317,-0.09755
727.7,0.0,0.0,0.0,0.007156,0.0,8e-08,0.202475,0.002957,0.00298747,0.097865,0.040957,0.04109375,3.953897,4.038137,4.0366734,219.256344,219.350981,219.34774,223.51774,223.43303,223.4285,-0.08471,-0.08924
751.475,0.0,0.0,0.0,0.006909,0.0,6e-08,0.199538,0.002516,0.0025427,0.089426,0.03526,0.03539505,3.878114,3.960618,3.9591817,219.213976,219.312795,219.30939,223.38796,223.31119,223.30651,-0.07677,-0.08145
775.25,0.0,0.0,0.0,0.006675,0.0,5e-08,0.1967,0.002147,0.00216937,0.081778,0.030337,0.03046331,3.803083,3.883394,3.8819848,219.17071,219.273659,219.27011,223.25895,223.18954,223.18473,-0.06941,-0.07422
799.025,0.0,0.0,0.0,0.006455,0.0,4e-08,0.193957,0.001835,0.00185518,0.074849,0.026087,0.02619923,3.728875,3.806542,3.8051638,219.126568,219.233584,219.22992,223.1307,223.06805,223.06314,-0.06265,-0.06756
822.8,0.0,0.0,0.0,0.006246,0.0,3e-08,0.191304,0.001573,0.00159026,0.068574,0.022423,0.0225241,3.655552,3.730136,3.7287889,219.08158,219.192586,219.18879,223.00326,222.94672,222.94169,-0.05654,-0.06157
846.575,0.0,0.0,0.0,0.006049,0.0,2e-08,0.188736,0.001352,0.00136636,0.06289,0.019266,0.01936075,3.583172,3.654245,3.6529285,219.035777,219.150683,219.14672,222.87662,222.82555,222.82038,-0.05107,-0.05624
870.35,0.0,0.0,0.0,0.005862,0.0,2e-08,0.186252,0.001164,0.00117665,0.057743,0.016548,0.01663826,3.511784,3.578934,3.577649,218.989197,219.107898,219.10376,222.75084,222.70454,222.69922,-0.0463,-0.05162
894.125,0.0,0.0,0.0,0.005685,0.0,1e-08,0.183846,0.001004,0.00101552,0.053082,0.014209,0.01429548,3.441434,3.504261,3.5030095,218.941878,219.064257,219.05993,222.62593,222.58373,222.57825,-0.0422,-0.04768
917.9,0.0,0.0,0.0,0.005517,0.0,1e-08,0.181517,0.000868,0.00087834,0.048859,0.012198,0.01227982,3.37216,3.430279,3.4290637,218.893854,219.019779,219.01527,222.50191,222.46313,222.4575,-0.03878,-0.04441
941.675,0.0,0.0,0.0,0.005358,0.0,1e-08,0.179261,0.000753,0.00076128,0.045033,0.01047,0.01054598,3.303992,3.357035,3.3558591,218.845153,218.97448,218.96981,222.3788,222.34274,222.33697,-0.03606,-0.04183
965.45,0.0,0.0,0.0,0.005207,0.0,1e-08,0.177074,0.000654,0.00066116,0.041567,0.008986,0.0090549,3.236956,3.284571,3.2834375,218.795798,218.928373,218.92355,222.2566,222.22258,222.21671,-0.03402,-0.03989
989.225,0.0,0.0,0.0,0.005064,0.0,1e-08,0.174953,0.000569,0.00057534,0.038423,0.007712,0.00777291,3.171071,3.212925,3.2118373,218.745813,218.881468,218.87653,222.13532,222.10267,222.09672,-0.03265,-0.0386
1013.0,0.0,0.0,0.0,0.004927,0.0,0.0,0.172894,0.000496,0.00050163,0.035573,0.006618,0.00667109,3.106352,3.142131,3.141092,218.695218,218.833774,218.82875,222.01496,221.98302,221.97702,-0.03194,-0.03794
