,hPa,LBL_g1,LBLg_g1,PAR_g1,LBL_g2,LBLg_g2,PAR_g2,LBL_g3,LBLg_g3,PAR_g3,LBL_g4,LBLg_g4,PAR_g4,LBL_g5,LBLg_g5,PAR_g5,LBL_g6,LBLg_g6,PAR_g6,LBL_tot,LBLg_tot,PAR_tot,LBLg - LBL,PAR - LBL
10,0.0158,0.15989232,0.15026302,0.15015585,0.02786333,0.02583091,0.02585591,0.00843367,0.00736923,0.00741357,4.23e-05,4.196e-05,4.379e-05,0.0004581,0.00039236,0.0004012,0.00188966,0.00160625,0.00162158,0.19857939,0.18550373,0.1854919,-0.01307566,-0.01308749
11,0.0221,0.15843034,0.14952046,0.14939742,0.02793323,0.02590641,0.02592687,0.00847357,0.00740537,0.00744896,4.407e-05,4.372e-05,4.563e-05,0.00046321,0.00039676,0.00040576,0.00189696,0.00161246,0.0016279,0.19724138,0.18488518,0.18485255,-0.0123562,-0.01238883
12,0.031,0.15646523,0.14852299,0.14838933,0.0279994,0.0259819,0.02599775,0.00851491,0.00744327,0.00748542,4.636e-05,4.601e-05,4.793e-05,0.00046871,0.00040154,0.00041053,0.0019044,0.0016188,0.00163414,0.19539901,0.1840145,0.1839651,-0.01138451,-0.01143391
13,0.0435,0.15381449,0.1471671,0.14702883,0.02806537,0.02606219,0.02607378,0.00856061,0.00748567,0.0075257,4.941e-05,4.905e-05,5.1e-05,0.00047503,0.00040707,0.00041588,0.00191248,0.00162568,0.0016406,0.1928774,0.18279677,0.18273579,-0.01008063,-0.01014161
14,0.0611,0.15003678,0.14513339,0.14498648,0.02829093,0.02630121,0.0263067,0.00868838,0.00760052,0.00763827,5.455e-05,5.418e-05,5.613e-05,0.00049148,0.00042112,0.00042987,0.00193646,0.00164609,0.00166079,0.18949859,0.1811565,0.18107824,-0.00834209,-0.00842035
15,0.0856,0.14458167,0.1419481,0.14176867,0.02894136,0.02695277,0.02694691,0.00903491,0.00790616,0.00794245,6.421e-05,6.378e-05,6.599e-05,0.00053552,0.00045801,0.00046733,0.00200464,0.00170407,0.00171943,0.18516231,0.17903288,0.17891078,-0.00612943,-0.00625153
16,0.1201,0.13738121,0.13745266,0.13731435,0.0298686,0.0278783,0.02787235,0.00955606,0.0083627,0.00840055,7.89e-05,7.837e-05,8.084e-05,0.00060559,0.0005158,0.00052597,0.00211167,0.00179509,0.00181217,0.17960204,0.17608291,0.17600624,-0.00351913,-0.0035958
17,0.1685,0.12868,0.13176912,0.13169642,0.03081656,0.02883896,0.02883718,0.01014064,0.00887334,0.00890984,9.815e-05,9.746e-05,0.00010003,0.00069041,0.00058472,0.00059482,0.00223748,0.00190209,0.00191931,0.17266324,0.1720657,0.1720576,-0.00059754,-0.00060564
18,0.2364,0.11840543,0.12468353,0.12464001,0.03175429,0.02981344,0.02980887,0.01078595,0.00943639,0.00946466,0.0001232,0.00012227,0.00012456,0.00079175,0.00066596,0.00067448,0.00238329,0.00202612,0.00204059,0.16424391,0.1667477,0.16675316,0.00250379,0.00250925
19,0.3315,0.1065018,0.11586683,0.11581294,0.03264279,0.03077735,0.03076227,0.01149272,0.01005383,0.01006594,0.00015584,0.00015455,0.00015604,0.00091275,0.00076183,0.00076674,0.00255128,0.00216906,0.00217685,0.15425719,0.15978345,0.15974078,0.00552626,0.00548359
20,0.4651,0.09308471,0.1049949,0.10499055,0.03341763,0.03168746,0.03168147,0.01225612,0.01072382,0.01072809,0.00019837,0.00019656,0.00019755,0.00105672,0.00087492,0.00087713,0.00274278,0.00233205,0.00233518,0.14275632,0.15080971,0.15080998,0.00805339,0.00805366
21,0.6524,0.07869265,0.09205212,0.092021,0.03404316,0.03253182,0.03250135,0.01308432,0.01145643,0.01147404,0.000254,0.00025145,0.00025466,0.00122844,0.00100908,0.00101986,0.00296218,0.00251889,0.00253678,0.13026475,0.13981978,0.13980767,0.00955503,0.00954292
22,0.9151,0.06409242,0.0773608,0.07731164,0.03421867,0.03305819,0.0330118,0.01380242,0.01211163,0.01213385,0.00032171,0.00031833,0.00032316,0.00139643,0.00114175,0.00115673,0.00315847,0.00268628,0.00271041,0.1169901,0.12667698,0.1266476,0.00968688,0.0096575
23,1.2836,0.05013859,0.06166783,0.06164778,0.03335457,0.03273642,0.0326997,0.01395782,0.01232148,0.01233834,0.00039212,0.00038857,0.00039207,0.00146067,0.00120124,0.00121284,0.00318149,0.00270657,0.00272556,0.10248526,0.11102211,0.11101628,0.00853685,0.00853102
24,1.8006,0.03726615,0.04534516,0.04535299,0.03155379,0.03164372,0.03163007,0.01361831,0.01214401,0.01217048,0.00047509,0.00047194,0.00047713,0.00143144,0.00119643,0.00120902,0.00304113,0.0025881,0.00260721,0.0873859,0.09338937,0.0934469,0.00600347,0.006061
25,2.5257,0.02593983,0.02940575,0.02941377,0.02935927,0.03025305,0.03023547,0.01324532,0.01196024,0.01198444,0.00059677,0.00059383,0.00059735,0.00141098,0.00120335,0.00121513,0.00287662,0.00244927,0.00246896,0.07342878,0.07586549,0.07591512,0.00243671,0.00248634
