,hPa,LBL_g1,LBLg_g1,PAR_g1,LBL_g2,LBLg_g2,PAR_g2,LBL_g3,LBLg_g3,PAR_g3,LBL_g4,LBLg_g4,PAR_g4,LBL_g5,LBLg_g5,PAR_g5,LBL_g6,LBLg_g6,PAR_g6,LBL_tot,LBLg_tot,PAR_tot
62,715.8125,0.0,0.0,0.0,9.323e-05,1e-08,1e-08,0.00108097,0.00018867,0.00018865,0.00330552,0.00233594,0.00233567,0.02714863,0.02758936,0.02758609,0.01471617,0.01327907,0.0132775,0.04634452,0.04339305,0.04338791400000001
63,739.5875,0.0,0.0,0.0,8.787e-05,1e-08,1e-08,0.00104314,0.00015793,0.00015791,0.00299663,0.00202349,0.00202325,0.02690867,0.02751573,0.02751247,0.01504356,0.0136178,0.01361619,0.04607987,0.04331496,0.043309828
64,763.3625,0.0,0.0,0.0,8.292e-05,0.0,0.0,0.00100756,0.00013256,0.00013254,0.00271555,0.00175115,0.00175095,0.02664132,0.02741096,0.02740771,0.01536283,0.01394846,0.0139468,0.04581017,0.04324313,0.04323801099999999
65,787.1375,0.0,0.0,0.0,7.833e-05,0.0,0.0,0.00097397,0.00011156,0.00011155,0.00246012,0.00151408,0.0015139,0.0263493,0.02727747,0.02727423,0.01567344,0.01427095,0.01426926,0.04553516,0.04317407,0.043168955
66,810.9125,0.0,0.0,0.0,7.406e-05,0.0,0.0,0.00094209,9.407e-05,9.406e-05,0.00222827,0.00130496,0.00130481,0.02603501,0.02711916,0.02711595,0.01597425,0.01460498,0.01460325,0.04525368,0.04312318,0.04311807
67,834.6875,0.0,0.0,0.0,7.007e-05,0.0,0.0,0.00091161,7.95e-05,7.949e-05,0.00201804,0.00112324,0.0011231,0.02570052,0.02693639,0.0269332,0.01626342,0.01493649,0.01493472,0.04496366,0.04307562,0.043070517
68,858.4625,0.0,0.0,0.0,6.634e-05,0.0,0.0,0.00088228,6.736e-05,6.735e-05,0.00182761,0.0009667,0.00096659,0.02534784,0.02673023,0.02672706,0.01653926,0.01525533,0.01525352,0.04466333,0.04301962,0.043014522
69,882.2375,0.0,0.0,0.0,6.283e-05,0.0,0.0,0.00085405,5.721e-05,5.721e-05,0.00165524,0.00083187,0.00083177,0.02497928,0.02650285,0.02649971,0.01680163,0.01556174,0.0155599,0.04435304,0.04295368,0.042948587
70,906.0125,0.0,0.0,0.0,5.955e-05,0.0,0.0,0.00082698,4.871e-05,4.87e-05,0.00149932,0.00071572,0.00071563,0.0245974,0.02625656,0.02625345,0.01705212,0.01585741,0.01585554,0.04403537,0.0428784,0.042873324000000004
71,929.7875,0.0,0.0,0.0,5.649e-05,0.0,0.0,0.00080116,4.157e-05,4.156e-05,0.00135836,0.00061565,0.00061558,0.0242046,0.02599346,0.02599038,0.01729265,0.01614431,0.0161424,0.04371325,0.04279499,0.042789923
72,953.5625,0.0,0.0,0.0,5.364e-05,0.0,0.0,0.00077659,3.555e-05,3.555e-05,0.001231,0.00052945,0.00052939,0.02380293,0.02571535,0.0257123,0.01752452,0.01642384,0.01642189,0.04338868,0.04270418,0.042699125
73,977.3375,0.0,0.0,0.0,5.098e-05,0.0,0.0,0.00075322,3.047e-05,3.047e-05,0.00111602,0.00045521,0.00045515,0.02339413,0.02542377,0.02542076,0.01774848,0.01669682,0.01669484,0.04306283,0.04260627,0.042601222
74,1001.1125,0.0,0.0,0.0,4.849e-05,0.0,0.0,0.000731,2.617e-05,2.617e-05,0.00101225,0.00039123,0.00039119,0.02297973,0.02512014,0.02511716,0.01796489,0.01696495,0.01696294,0.04273637,0.04250249,0.042497455
