hPa,LBL,LBLg,PAR,LBLg - LBL,PAR - LBL
632.6,224.04413,223.91898999999998,223.91898999999998,-0.12514000000001602,-0.12514000000001602
656.375,223.91147999999998,223.7959,223.7959,-0.11557999999999424,-0.11557999999999424
680.15,223.77951000000002,223.67316,223.67316,-0.10635000000002037,-0.10635000000002037
703.925,223.64826000000002,223.55071,223.55071,-0.09755000000001246,-0.09755000000001246
727.7,223.51774,223.4285,223.4285,-0.08923999999998955,-0.08923999999998955
751.475,223.38796000000002,223.30651,223.30651,-0.08145000000001801,-0.08145000000001801
775.25,223.25895,223.18472999999997,223.18472999999997,-0.07422000000002527,-0.07422000000002527
799.025,223.1307,223.06314,223.06314,-0.06755999999998608,-0.06755999999998608
822.8,223.00326,222.94169,222.94169,-0.061570000000017444,-0.061570000000017444
846.575,222.87662000000003,222.82037999999997,222.82037999999997,-0.056240000000059354,-0.056240000000059354
870.35,222.75083999999998,222.69922000000003,222.69922000000003,-0.051619999999957145,-0.051619999999957145
894.125,222.62592999999998,222.57825,222.57825,-0.04767999999998551,-0.04767999999998551
917.9,222.50191,222.4575,222.4575,-0.04440999999999917,-0.04440999999999917
941.675,222.3788,222.33697,222.33697,-0.041830000000004475,-0.041830000000004475
965.45,222.2566,222.21671,222.21671,-0.03988999999998555,-0.03988999999998555
989.225,222.13532,222.09672,222.09672,-0.03860000000000241,-0.03860000000000241
1013.0,222.01496,221.97702,221.97702,-0.03793999999999187,-0.03793999999999187
