,hPa,LBL_g1,LBLk_g1,PAR_g1,LBL_g2,LBLk_g2,PAR_g2,LBL_g3,LBLk_g3,PAR_g3,LBL_g4,LBLk_g4,PAR_g4,LBL_g5,LBLk_g5,PAR_g5,LBL_g6,LBLk_g6,PAR_g6,LBL_tot,LBLk_tot,PAR_tot,LBLk - LBL,PAR - LBL
59,644.4875,0.0,0.0,0.0,3.948e-05,0.0,0.0,0.00114544,5.17e-06,5.16e-06,0.00169145,0.00047724,0.00047719,0.03747804,0.04110759,0.04110334,0.02648511,0.02470199,0.02469944,0.06683951,0.06629198,0.06628513,-0.00054753,-0.00055439
60,668.2625,0.0,0.0,0.0,3.59e-05,0.0,0.0,0.0010915,3.62e-06,3.61e-06,0.00143228,0.00035872,0.00035868,0.03657903,0.04041582,0.04041164,0.02709438,0.02544942,0.02544679,0.06623307,0.06622757,0.06622072,-5.5e-06,-1.235e-05
61,692.0375,0.0,0.0,0.0,3.268e-05,0.0,0.0,0.00104072,2.55e-06,2.54e-06,0.001212,0.00026915,0.00026912,0.03565163,0.03966216,0.03965805,0.02767299,0.02617005,0.02616734,0.06561003,0.0661039,0.06609706,0.00049387,0.00048703
62,715.8125,0.0,0.0,0.0,2.978e-05,0.0,0.0,0.0009924,1.8e-06,1.8e-06,0.00102519,0.0002016,0.00020158,0.03470133,0.03885456,0.03885054,0.02821406,0.0268586,0.02685582,0.06496275,0.06591656,0.06590974,0.00095381,0.00094699
63,739.5875,0.0,0.0,0.0,2.715e-05,0.0,0.0,0.00094634,1.28e-06,1.28e-06,0.00086704,0.00015075,0.00015073,0.03373463,0.03800159,0.03799766,0.02871581,0.02751416,0.02751132,0.06429096,0.06566779,0.06566099,0.00137683,0.00137003
64,763.3625,0.0,0.0,0.0,2.479e-05,0.0,0.0,0.00090289,9.2e-07,9.2e-07,0.00073339,0.00011253,0.00011252,0.03275977,0.0371126,0.03710876,0.02918528,0.02814366,0.02814075,0.06360613,0.0653697,0.06536294,0.00176357,0.00175681
65,787.1375,0.0,0.0,0.0,2.269e-05,0.0,0.0,0.00086251,6.6e-07,6.6e-07,0.00062064,8.385e-05,8.384e-05,0.03178476,0.03619631,0.03619257,0.02963352,0.02875762,0.02875464,0.06292412,0.06503844,0.06503171,0.00211432,0.00210759
66,810.9125,0.0,0.0,0.0,2.081e-05,0.0,0.0,0.00082536,4.8e-07,4.8e-07,0.00052566,6.223e-05,6.222e-05,0.03081567,0.03526165,0.035258,0.03006902,0.02940409,0.02940105,0.06225653,0.06472845,0.06472175,0.00247192,0.00246522
67,834.6875,0.0,0.0,0.0,1.914e-05,0.0,0.0,0.00079121,3.5e-07,3.5e-07,0.00044574,4.61e-05,4.61e-05,0.0298562,0.03431211,0.03430856,0.03049459,0.03006145,0.03005834,0.06160687,0.06442001,0.06441334,0.00281314,0.00280647
68,858.4625,0.0,0.0,0.0,1.764e-05,0.0,0.0,0.00075961,2.5e-07,2.5e-07,0.00037852,3.414e-05,3.413e-05,0.02890827,0.0333509,0.03334745,0.03090788,0.03071054,0.03070737,0.06097192,0.06409584,0.0640892,0.00312392,0.00311728
69,882.2375,0.0,0.0,0.0,1.629e-05,0.0,0.0,0.00073013,1.8e-07,1.8e-07,0.00032201,2.527e-05,2.527e-05,0.02797331,0.03238179,0.03237844,0.03130542,0.03134872,0.03134548,0.06034716,0.06375596,0.06374937,0.0034088,0.00340221
70,906.0125,0.0,0.0,0.0,1.507e-05,0.0,0.0,0.00070248,1.4e-07,1.4e-07,0.0002745,1.87e-05,1.869e-05,0.02705279,0.03140846,0.03140521,0.03168498,0.03197439,0.03197108,0.05972981,0.06340168,0.06339512,0.00367187,0.00366531
71,929.7875,0.0,0.0,0.0,1.395e-05,0.0,0.0,0.00067644,1e-07,1e-07,0.00023453,1.383e-05,1.383e-05,0.02614819,0.03043444,0.03043129,0.03204566,0.0325871,0.03258373,0.05911878,0.06303547,0.06302894,0.00391669,0.00391016
72,953.5625,0.0,0.0,0.0,1.294e-05,0.0,0.0,0.0006518,7e-08,7e-08,0.00020088,1.022e-05,1.022e-05,0.025258,0.02946297,0.02945992,0.03238347,0.03318695,0.03318352,0.05850708,0.06266022,0.06265373,0.00415314,0.00414665
73,977.3375,0.0,0.0,0.0,1.202e-05,0.0,0.0,0.00062847,6e-08,6e-08,0.00017253,7.56e-06,7.56e-06,0.02438501,0.02849687,0.02849392,0.03270012,0.03377581,0.03377231,0.05789814,0.06228029,0.06227384,0.00438215,0.0043757
74,1001.1125,0.0,0.0,0.0,1.117e-05,0.0,0.0,0.0006064,4e-08,4e-08,0.00014862,5.58e-06,5.58e-06,0.02353201,0.02753912,0.02753627,0.03299815,0.034352,0.03434844,0.05729636,0.06189674,0.06189033,0.00460038,0.00459397
