,hPa,LBL_g1,LBLk_g1,PAR_g1,LBL_g2,LBLk_g2,PAR_g2,LBL_g3,LBLk_g3,PAR_g3,LBL_g4,LBLk_g4,PAR_g4,LBL_g5,LBLk_g5,PAR_g5,LBL_g6,LBLk_g6,PAR_g6,LBL_tot,LBLk_tot,PAR_tot,LBLk - LBL,PAR - LBL
65,787.1375,0.0,0.0,0.0,2.745e-05,0.0,0.0,0.00080125,6.5e-07,6.5e-07,0.0006375,7.316e-05,7.316e-05,0.03120843,0.03613136,0.03612762,0.02696692,0.02610384,0.02610114,0.05964154,0.06230901,0.06230256,0.00266747,0.00266102
66,810.9125,0.0,0.0,0.0,2.553e-05,0.0,0.0,0.00076908,4.7e-07,4.7e-07,0.00054406,5.382e-05,5.382e-05,0.03026776,0.03524125,0.0352376,0.02734513,0.02666738,0.02666462,0.05895155,0.06196293,0.06195651,0.00301138,0.00300496
67,834.6875,0.0,0.0,0.0,2.376e-05,0.0,0.0,0.00073849,3.4e-07,3.4e-07,0.00046521,3.953e-05,3.952e-05,0.0293312,0.03433226,0.03432871,0.0276988,0.02722748,0.02722466,0.05825747,0.06159961,0.06159324,0.00334214,0.00333577
68,858.4625,0.0,0.0,0.0,2.212e-05,0.0,0.0,0.00070902,2.5e-07,2.5e-07,0.00039862,2.902e-05,2.901e-05,0.02839989,0.03340541,0.03340195,0.02802279,0.02776149,0.02775862,0.05755245,0.06119616,0.06118983,0.00364371,0.00363738
69,882.2375,0.0,0.0,0.0,2.058e-05,0.0,0.0,0.00068014,1.8e-07,1.8e-07,0.00034227,2.129e-05,2.129e-05,0.02747383,0.03246451,0.03246115,0.02830938,0.02826225,0.02825932,0.0568262,0.06074823,0.06074194,0.00392203,0.00391574
70,906.0125,0.0,0.0,0.0,1.913e-05,0.0,0.0,0.00065158,1.3e-07,1.3e-07,0.00029451,1.562e-05,1.562e-05,0.02655409,0.03151386,0.0315106,0.02855418,0.02872533,0.02872235,0.05607349,0.06025494,0.0602487,0.00418145,0.00417521
71,929.7875,0.0,0.0,0.0,1.778e-05,0.0,0.0,0.00062365,1e-07,1e-07,0.00025404,1.145e-05,1.145e-05,0.02564445,0.0305587,0.03055554,0.02876154,0.02915438,0.02915136,0.05530147,0.05972463,0.05971845,0.00442316,0.00441698
72,953.5625,0.0,0.0,0.0,1.653e-05,0.0,0.0,0.00059687,7e-08,7e-08,0.0002198,8.39e-06,8.39e-06,0.0247498,0.0296042,0.02960114,0.02894084,0.02955807,0.02955501,0.05452384,0.05917073,0.05916461,0.00464689,0.00464077
73,977.3375,0.0,0.0,0.0,1.539e-05,0.0,0.0,0.00057157,5e-08,5e-08,0.00019085,6.14e-06,6.14e-06,0.02387377,0.02865442,0.02865145,0.02909973,0.02994378,0.02994068,0.05375131,0.0586044,0.05859833,0.00485309,0.00484702
74,1001.1125,0.0,0.0,0.0,1.434e-05,0.0,0.0,0.00054781,4e-08,4e-08,0.00016635,4.5e-06,4.49e-06,0.02301843,0.02771254,0.02770967,0.02924238,0.03031819,0.03031505,0.05298932,0.05803527,0.05802926,0.00504595,0.00503994
